session,region
16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1,CS
16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1,MRN
16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1,PAG
16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1,PRNr
16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1,SCm
16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1,SCs
cde63527-7f5a-4cc3-8ac2-215d82e7da26,AIp
cde63527-7f5a-4cc3-8ac2-215d82e7da26,CA1
cde63527-7f5a-4cc3-8ac2-215d82e7da26,CA2
cde63527-7f5a-4cc3-8ac2-215d82e7da26,CA3
cde63527-7f5a-4cc3-8ac2-215d82e7da26,GU
cde63527-7f5a-4cc3-8ac2-215d82e7da26,SSp-m
cde63527-7f5a-4cc3-8ac2-215d82e7da26,SSs
cde63527-7f5a-4cc3-8ac2-215d82e7da26,VISC
37ac03f1-9831-4a30-90fc-a59e635b98bd,DG
37ac03f1-9831-4a30-90fc-a59e635b98bd,Eth
37ac03f1-9831-4a30-90fc-a59e635b98bd,LP
37ac03f1-9831-4a30-90fc-a59e635b98bd,PCN
37ac03f1-9831-4a30-90fc-a59e635b98bd,PH
37ac03f1-9831-4a30-90fc-a59e635b98bd,PO
37ac03f1-9831-4a30-90fc-a59e635b98bd,VPMpc
ee8b36de-779f-4dea-901f-e0141c95722b,ACB
ee8b36de-779f-4dea-901f-e0141c95722b,CP
ee8b36de-779f-4dea-901f-e0141c95722b,LSc
ee8b36de-779f-4dea-901f-e0141c95722b,MOp
ee8b36de-779f-4dea-901f-e0141c95722b,MOs
ee8b36de-779f-4dea-901f-e0141c95722b,OT
ee8b36de-779f-4dea-901f-e0141c95722b,SI
dd87e278-999d-478b-8cbd-b5bf92b84763,MRN
dd87e278-999d-478b-8cbd-b5bf92b84763,PRNr
dd87e278-999d-478b-8cbd-b5bf92b84763,RR
dd87e278-999d-478b-8cbd-b5bf92b84763,SCm
dd87e278-999d-478b-8cbd-b5bf92b84763,SCs
dd87e278-999d-478b-8cbd-b5bf92b84763,TRN
a92c4b1d-46bd-457e-a1f4-414265f0e2d4,ACAd
a92c4b1d-46bd-457e-a1f4-414265f0e2d4,ACAv
a92c4b1d-46bd-457e-a1f4-414265f0e2d4,APN
a92c4b1d-46bd-457e-a1f4-414265f0e2d4,LSc
a92c4b1d-46bd-457e-a1f4-414265f0e2d4,LSr
a92c4b1d-46bd-457e-a1f4-414265f0e2d4,LSv
