session_id,pupil.location,running.running_speed,drifting_gratings.orientation,drifting_gratings.temporal_frequency,static_gratings.phase,static_gratings.spatial_frequency,static_gratings.orientation,natural_scenes.frame,natural_movie_one.frame,natural_movie_two.frame,natural_movie_three.frame,locally_sparse_noise.frame
660069314.h5,False,True,False,False,False,False,False,False,True,True,False,True
510517131.h5,False,True,True,True,False,False,False,False,True,False,True,False
605222325.h5,False,True,False,False,False,False,False,False,True,True,False,True
672207947.h5,False,True,True,True,False,False,False,False,True,False,True,False
652338101.h5,False,True,False,False,False,False,False,False,True,True,False,True
680156911.h5,False,True,True,True,False,False,False,False,True,False,True,False
502254330.h5,False,True,False,False,True,True,True,True,True,False,False,False
594090967.h5,False,True,True,True,False,False,False,False,True,False,True,False
660064796.h5,False,True,True,True,False,False,False,False,True,False,True,False
609239161.h5,False,True,False,False,False,False,False,False,True,True,False,True
573261515.h5,True,True,True,True,False,False,False,False,True,False,True,False
584930390.h5,False,True,False,False,True,True,True,True,True,False,False,False
566752133.h5,True,True,False,False,False,False,False,False,True,True,False,True
593373156.h5,False,True,True,True,False,False,False,False,True,False,True,False
510698988.h5,False,True,False,False,True,True,True,True,True,False,False,False
645040965.h5,False,True,False,False,True,True,True,True,True,False,False,False
554021353.h5,True,True,False,False,True,True,True,True,True,False,False,False
502666254.h5,False,True,True,True,False,False,False,False,True,False,True,False
501929610.h5,True,True,True,True,False,False,False,False,True,False,True,False
675062364.h5,False,True,False,False,True,True,True,True,True,False,False,False
562003583.h5,True,True,False,False,False,False,False,False,True,True,False,True
503823672.h5,True,True,False,False,True,True,True,True,True,False,False,False
614846599.h5,False,True,False,False,True,True,True,True,True,False,False,False
605683787.h5,False,True,False,False,True,True,True,True,True,False,False,False
658518486.h5,False,True,True,True,False,False,False,False,True,False,True,False
662351164.h5,False,True,True,True,False,False,False,False,True,False,True,False
627824037.h5,False,True,False,False,False,False,False,False,True,True,False,True
510524416.h5,True,True,False,False,False,False,False,False,True,True,False,True
502667200.h5,True,True,False,False,False,False,False,False,True,True,False,True
712924011.h5,False,True,False,False,True,True,True,True,True,False,False,False
658854887.h5,False,True,False,False,True,True,True,True,True,False,False,False
593416136.h5,False,True,False,False,True,True,True,True,True,False,False,False
571912779.h5,True,True,False,False,True,True,True,True,True,False,False,False
588655112.h5,False,True,True,True,False,False,False,False,True,False,True,False
505695962.h5,False,True,True,True,False,False,False,False,True,False,True,False
550490398.h5,False,True,True,True,False,False,False,False,True,False,True,False
651366510.h5,False,True,False,False,False,False,False,False,True,True,False,True
555018432.h5,True,True,False,False,True,True,True,True,True,False,False,False
551834174.h5,False,True,True,True,False,False,False,False,True,False,True,False
646017558.h5,False,True,False,False,False,False,False,False,True,True,False,True
653058060.h5,False,True,False,False,False,False,False,False,True,True,False,True
580631157.h5,True,True,False,False,True,True,True,True,True,False,False,False
667348568.h5,False,True,False,False,False,False,False,False,True,True,False,True
580043440.h5,True,True,True,True,False,False,False,False,True,False,True,False
569792817.h5,True,True,True,True,False,False,False,False,True,False,True,False
626028096.h5,False,True,False,False,False,False,False,False,True,True,False,True
673145838.h5,False,True,False,False,True,True,True,True,True,False,False,False
576411246.h5,True,True,True,True,False,False,False,False,True,False,True,False
596525298.h5,False,True,False,False,True,True,True,True,True,False,False,False
657469734.h5,False,True,False,False,True,True,True,True,True,False,False,False
501839084.h5,False,True,False,False,False,False,False,False,True,True,False,True
556665481.h5,True,True,True,True,False,False,False,False,True,False,True,False
582649934.h5,True,True,False,False,False,False,False,False,True,True,False,True
671162646.h5,False,True,False,False,True,True,True,True,True,False,False,False
