subject,electrode,native_t1_x,native_t1_y,native_t1_z,freesurfer_tkr_x,freesurfer_tkr_y,freesurfer_tkr_z,chain,contact,coordinate_assumption,label_status,qc_status,label_dkt,label_destrieux
01,ACR1,16.134,56.354,-8.454,11.999814208984375,39.999649569790336,23.000326577913683,ACR,1,native_t1_scanner_ras_to_freesurfer_tkr_ras,provisional,not_reviewed,ctx-rh-rostralanteriorcingulate,ctx_rh_G_and_S_cingul-Ant
01,ACR2,16.134,56.354,-5.454,11.999814208984375,39.99964954970869,26.000326220285856,ACR,2,native_t1_scanner_ras_to_freesurfer_tkr_ras,provisional,not_reviewed,ctx-rh-rostralanteriorcingulate,ctx_rh_G_and_S_cingul-Ant
01,ACR3,17.134,56.354,-2.454,12.999814208984375,39.99964952217647,29.00032586265803,ACR,3,native_t1_scanner_ras_to_freesurfer_tkr_ras,provisional,not_reviewed,ctx-rh-rostralanteriorcingulate,ctx_rh_G_and_S_cingul-Ant
01,ACR4,18.134,56.354,1.546,13.999814208984375,39.999649487950364,33.00032538582093,ACR,4,native_t1_scanner_ras_to_freesurfer_tkr_ras,provisional,not_reviewed,ctx-rh-rostralanteriorcingulate,ctx_rh_G_and_S_cingul-Ant
01,ACR5,19.134,56.354,5.546,14.999814208984375,39.99964945372429,37.00032490898383,ACR,5,native_t1_scanner_ras_to_freesurfer_tkr_ras,provisional,not_reviewed,ctx-rh-rostralanteriorcingulate,ctx_rh_G_and_S_cingul-Ant
01,ACR6,19.134,56.354,9.546,14.999814208984375,39.999649426948764,41.000324432146726,ACR,6,native_t1_scanner_ras_to_freesurfer_tkr_ras,provisional,not_reviewed,ctx-rh-superiorfrontal,ctx_rh_G_and_S_cingul-Ant
01,ACR7,20.134,56.354,11.546,15.999814208984375,39.99964940611042,43.000324193728176,ACR,7,native_t1_scanner_ras_to_freesurfer_tkr_ras,provisional,not_reviewed,ctx-rh-superiorfrontal,ctx_rh_G_and_S_cingul-Ant
01,ACR8,21.134,56.354,15.546,16.999814208984375,39.999649371884345,47.000323716891074,ACR,8,native_t1_scanner_ras_to_freesurfer_tkr_ras,provisional,not_reviewed,ctx-rh-superiorfrontal,ctx_rh_G_and_S_cingul-Ant
01,ACR9,21.134,56.354,18.546,16.999814208984375,39.9996493518027,50.00032335926325,ACR,9,native_t1_scanner_ras_to_freesurfer_tkr_ras,provisional,not_reviewed,ctx-rh-superiorfrontal,ctx_rh_G_and_S_cingul-Ant
01,ACR10,22.134,56.354,22.546,17.999814208984375,39.9996493175766,54.00032288242615,ACR,10,native_t1_scanner_ras_to_freesurfer_tkr_ras,provisional,not_reviewed,ctx-rh-superiorfrontal,ctx_rh_S_front_sup
01,ACR11,22.134,56.354,25.546,17.999814208984375,39.999649297494955,57.00032252479832,ACR,11,native_t1_scanner_ras_to_freesurfer_tkr_ras,provisional,not_reviewed,ctx-rh-superiorfrontal,ctx_rh_S_front_sup
01,ACR12,23.134,56.354,29.546,18.999814208984375,39.99964926326885,61.00032204796122,ACR,12,native_t1_scanner_ras_to_freesurfer_tkr_ras,provisional,not_reviewed,ctx-rh-superiorfrontal,ctx_rh_G_front_sup
01,AHL1,-22.066,14.354,-32.854,-26.200185791015628,-2.0003449754773044,-1.3996702322370425,AHL,1,native_t1_scanner_ras_to_freesurfer_tkr_ras,provisional,not_reviewed,Left-Hippocampus,Left-Hippocampus
01,AHL2,-24.866,15.354,-32.621,-29.00018579101561,-1.0003450753846295,-1.166670266706717,AHL,2,native_t1_scanner_ras_to_freesurfer_tkr_ras,provisional,not_reviewed,Left-Hippocampus,Left-Hippocampus
