start_time_s,label
30.736,1
31.59,1
31.704,1
31.966,0
32.93,1
33.248,1
33.943,0
35.233,1
36.601,1
36.711,1
36.863,1
36.911,1
37.226,0
37.516,0
38.072,1
38.275,1
38.47,0
38.916,1
39.302,0
39.773,0
40.865,1
41.14,1
42.084,1
42.38,1
42.587,0
44.003,1
44.679,1
47.279,1
47.524,1
47.682,0
47.72,0
48.172,0
48.531,0
48.935,1
49.046,1
49.213,1
49.283,1
49.449,1
49.781,0
49.93,0
50.671,1
50.957,1
51.376,0
51.525,0
51.886,0
52.038,1
52.142,1
52.616,0
52.831,0
53.58,1
53.739,1
54.387,0
54.574,0
56.341,1
56.488,1
56.633,1
56.724,1
57.143,1
57.488,0
57.752,0
58.233,0
58.932,1
59.039,1
59.199,0
59.432,0
59.47,0
59.611,0
61.1143,1
64.6143,1
66.6143,1
68.1143,0
73.6143,0
75.6143,1
76.1143,0
77.1143,0
77.6143,0
79.1143,0
83.6143,0
84.6143,0
85.1143,0
90.1143,1
90.943,1
91.052,1
91.796,0
91.942,0
92.825,1
92.945,1
93.263,0
93.418,0
93.555,0
94.423,1
94.846,0
95.104,0
95.374,0
99.69019999999999,1
100.19019999999999,0
100.823,1
101.121,0
101.241,0
103.718,1
103.826,1
104.153,0
104.43,0
104.566,0
106.955,1
107.045,1
107.288,0
107.634,1
107.783,1
107.927,0
109.605,1
110.41,0
110.624,0
111.105,1
111.192,1
111.484,0
111.715,0
111.92,0
113.34,1
113.444,1
113.511,1
113.993,0
114.089,0
114.553,1
117.62,1
118.62,1
119.62,1
120.12,0
122.62,0
123.12,1
123.62,0
124.12,0
125.12,1
126.12,0
127.12,1
127.62,0
128.12,1
128.62,0
129.12,0
130.62,1
132.12,0
132.62,1
133.62,0
134.12,0
135.12,0
137.62,1
138.12,0
139.12,0
139.62,1
140.12,0
142.12,1
142.62,0
143.12,1
144.12,0
147.62,0
148.12,0
149.12,0
149.62,0
150.359,1
151.631,1
151.901,1
152.2,0
152.344,0
152.429,0
152.624,1
152.84,0
153.409,1
153.479,1
153.67,1
153.78,0
154.13,0
154.265,0
154.322,0
155.133,1
155.385,1
155.656,0
156.071,1
156.709,0
157.603,1
158.196,1
158.301,1
158.736,1
158.821,1
159.056,1
159.672,0
159.734,1
159.954,1
160.289,1
160.602,1
160.796,1
161.169,0
161.462,0
161.567,0
161.651,0
163.824,1
164.148,1
164.305,0
164.503,0
164.548,0
164.727,0
164.875,0
165.707,1
166.207,1
167.707,0
168.207,0
168.707,0
169.207,0
170.978,1
173.274,0
174.694,1
175.753,1
175.897,0
176.037,0
176.159,0
177.214,1
177.437,0
177.577,0
177.873,1
177.945,1
178.185,1
178.439,0
178.756,0
178.926,0
178.983,0
179.138,0
179.414,0
181.199,1
182.199,0
182.699,1
184.199,0
184.699,1
186.199,0
186.699,1
187.199,1
188.199,0
188.699,0
189.699,0
190.699,1
191.699,0
192.199,0
192.699,0
193.199,1
193.699,0
194.699,1
195.199,1
195.699,1
196.199,0
196.699,1
197.199,0
197.699,0
199.199,0
200.199,1
200.699,1
201.699,0
202.199,1
202.699,1
203.199,0
204.199,1
204.699,0
205.199,0
205.699,0
206.199,1
206.699,1
207.199,0
207.699,0
208.199,0
208.699,0
209.199,0
210.78,1
210.897,1
211.667,1
211.801,1
211.967,1
212.069,1
212.48,1
212.608,0
212.77,0
213.353,1
213.599,1
214.066,0
215.047,1
215.45,0
215.74,0
215.93,1
216.249,1
216.829,0
216.992,1
217.242,1
217.459,0
217.728,0
217.838,0
218.01,0
219.345,1
219.634,0
219.725,0
220.178,1
220.327,1
220.382,1
221.279,0
223.002,1
223.502,1
224.4447,1
224.969,1
225.712,1
226.481,0
226.603,0
226.741,0
227.225,1
227.484,1
227.601,1
229.282,1
229.587,1
229.775,1
230.032,0
230.215,0
230.258,0
230.418,0
230.625,0
230.744,0
231.348,1
231.477,1
231.557,1
232.251,0
232.308,0
232.379,0
232.518,0
232.666,1
232.981,1
233.322,0
233.9,1
234.035,1
234.151,1
234.729,0
234.998,1
235.442,1
235.785,0
236.025,0
236.236,0
237.053,1
237.752,0
237.972,0
238.038,0
238.553,1
238.733,1
238.873,1
239.018,1
239.183,0
239.32,0
241.62,0
242.12,1
242.62,1
243.12,0
243.62,0
244.12,1
244.62,0
245.12,1
246.62,0
247.12,0
247.62,1
248.12,0
249.62,0
250.12,1
251.12,0
251.62,1
252.62,0
253.62,1
254.12,1
254.62,0
255.12,0
256.62,1
257.12,0
258.12,0
260.12,1
260.62,0
261.62,1
262.62,0
264.62,0
265.12,0
265.62,1
266.12,1
267.12,0
267.62,0
268.62,0
269.62,0
270.208,1
270.41,0
270.944,1
271.202,0
271.326,0
271.602,0
271.67,0
272.055,1
272.121,1
272.398,1
273.766,1
273.94,1
274.159,1
274.45,1
275.365,0
275.677,1
276.764,1
276.935,1
277.076,1
277.349,0
277.533,0
277.574,0
278.646,1
279.178,1
279.717,0
279.934,1
280.214,1
280.366,0
280.64,0
281.001,1
281.206,1
281.687,0
281.898,0
282.893,1
283.402,0
283.596,0
284.126,1
284.276,1
284.447,0
284.568,0
284.851,0
286.257,1
286.492,1
287.016,0
288.283,0
288.94,1
289.173,1
289.733,0
290.018,0
290.288,1
290.559,1
290.99,1
291.403,0
292.169,1
292.721,0
293.053,1
293.951,1
294.605,1
294.98,0
295.106,0
296.011,1
296.494,1
296.698,1
297.189,0
298.088,0
298.588,1
299.088,1
299.588,0
300.088,1
300.588,0
301.088,1
303.088,0
304.588,0
306.088,1
307.088,0
307.588,0
310.088,0
310.588,1
311.088,0
311.588,1
312.088,0
312.588,1
313.088,0
313.588,1
314.588,0
315.088,0
315.588,0
316.088,1
316.588,1
