start_time_s,label
30.736,2
31.59,2
31.704,2
31.818,1
31.966,0
32.93,2
33.248,2
33.304,1
33.448,1
33.574,1
33.943,0
34.939,1
35.233,2
35.479,1
35.62,1
36.601,2
36.711,2
36.863,2
36.911,2
37.226,0
37.516,0
38.072,2
38.275,2
38.47,0
38.684,1
38.916,2
39.302,0
39.773,0
40.865,2
41.14,2
41.246,1
42.084,2
42.38,2
42.587,0
44.003,2
44.679,2
44.924,1
47.279,2
47.524,2
47.682,0
47.72,0
47.905,1
48.172,0
48.531,0
48.935,2
49.046,2
49.213,2
49.283,2
49.449,2
49.781,0
49.93,0
50.671,2
50.957,2
51.152,1
51.376,0
51.525,0
51.886,0
52.038,2
52.142,2
52.616,0
52.831,0
53.58,2
53.739,2
54.387,0
54.574,0
54.629,1
54.84,1
54.993,1
55.053,1
55.689,1
56.341,2
56.488,2
56.633,2
56.724,2
57.143,2
57.488,0
57.752,0
57.957,1
58.007,1
58.233,0
58.932,2
59.039,2
59.199,0
59.432,0
59.47,0
59.611,0
60.6143,1
61.1143,2
61.6143,1
62.1143,1
62.6143,1
63.1143,1
63.6143,1
64.1143,1
64.6143,2
65.1143,1
65.6143,1
66.1143,1
66.6143,2
67.1143,1
67.6143,1
68.1143,0
68.6143,1
69.1143,1
69.6143,1
70.1143,1
70.6143,1
71.1143,1
71.6143,1
72.1143,1
72.6143,1
73.1143,1
73.6143,0
74.1143,1
74.6143,1
75.1143,1
75.6143,2
76.1143,0
76.6143,1
77.1143,0
77.6143,0
78.1143,1
78.6143,1
79.1143,0
79.6143,1
80.1143,1
80.6143,1
81.1143,1
81.6143,1
82.1143,1
82.6143,1
83.1143,1
83.6143,0
84.1143,1
84.6143,0
85.1143,0
85.6143,1
86.1143,1
86.6143,1
87.1143,1
87.6143,1
88.1143,1
88.6143,1
89.1143,1
89.6143,1
90.1143,2
90.943,2
91.052,2
91.326,1
91.428,1
91.476,1
91.796,0
91.942,0
92.825,2
92.945,2
93.263,0
93.418,0
93.555,0
93.741,1
93.872,1
94.423,2
94.691,1
94.846,0
95.104,0
95.374,0
96.19019999999999,1
96.69019999999999,1
97.19019999999999,1
97.69019999999999,1
98.19019999999999,1
98.69019999999999,1
99.19019999999999,1
99.69019999999999,2
100.19019999999999,0
100.823,2
100.903,1
101.121,0
101.241,0
101.644,1
101.748,1
103.718,2
103.826,2
104.035,1
104.153,0
104.43,0
104.566,0
105.38889999999999,1
105.88889999999999,1
106.38889999999999,1
106.955,2
107.045,2
107.288,0
107.634,2
107.783,2
107.927,0
108.007,1
109.605,2
109.858,1
110.029,1
110.41,0
110.624,0
111.105,2
111.192,2
111.484,0
111.715,0
111.92,0
113.34,2
113.444,2
113.511,2
113.993,0
114.089,0
114.553,2
114.776,1
115.8377,1
116.08,1
116.153,1
117.12,1
117.62,2
118.12,1
118.62,2
119.12,1
119.62,2
120.12,0
120.62,1
121.12,1
121.62,1
122.12,1
122.62,0
123.12,2
123.62,0
124.12,0
124.62,1
125.12,2
125.62,1
126.12,0
126.62,1
127.12,2
127.62,0
128.12,2
128.62,0
129.12,0
129.62,1
130.12,1
130.62,2
131.12,1
131.62,1
132.12,0
132.62,2
133.12,1
133.62,0
134.12,0
134.62,1
135.12,0
135.62,1
136.12,1
136.62,1
137.12,1
137.62,2
138.12,0
138.62,1
139.12,0
139.62,2
140.12,0
140.62,1
141.12,1
141.62,1
142.12,2
142.62,0
143.12,2
143.62,1
144.12,0
144.62,1
145.12,1
145.62,1
146.12,1
146.62,1
147.12,1
147.62,0
148.12,0
148.62,1
149.12,0
149.62,0
150.359,2
151.631,2
151.901,2
152.2,0
152.344,0
152.429,0
152.624,2
152.84,0
153.409,2
153.479,2
153.67,2
153.78,0
154.13,0
154.265,0
154.322,0
155.133,2
155.385,2
155.44,1
155.656,0
155.749,1
156.071,2
156.384,1
156.709,0
157.603,2
158.196,2
158.301,2
158.566,1
158.736,2
158.821,2
159.056,2
159.672,0
159.734,2
159.954,2
160.289,2
160.602,2
160.796,2
161.169,0
161.462,0
161.567,0
161.651,0
161.932,1
163.824,2
164.148,2
164.305,0
164.503,0
164.548,0
164.727,0
164.875,0
165.707,2
166.207,2
166.707,1
167.207,1
167.707,0
168.207,0
168.707,0
169.207,0
169.707,1
170.207,1
170.978,2
173.274,0
174.694,2
175.753,2
175.897,0
176.037,0
176.159,0
177.214,2
177.437,0
177.577,0
177.716,1
177.873,2
177.945,2
178.185,2
178.439,0
178.756,0
178.926,0
178.983,0
179.138,0
179.414,0
180.199,1
180.699,1
181.199,2
181.699,1
182.199,0
182.699,2
183.199,1
183.699,1
184.199,0
184.699,2
185.199,1
185.699,1
186.199,0
186.699,2
187.199,2
187.699,1
188.199,0
188.699,0
189.199,1
189.699,0
190.199,1
190.699,2
191.199,1
191.699,0
192.199,0
192.699,0
193.199,2
193.699,0
194.199,1
194.699,2
195.199,2
195.699,2
196.199,0
196.699,2
197.199,0
197.699,0
198.199,1
198.699,1
199.199,0
199.699,1
200.199,2
200.699,2
201.199,1
201.699,0
202.199,2
202.699,2
203.199,0
203.699,1
204.199,2
204.699,0
205.199,0
205.699,0
206.199,2
206.699,2
207.199,0
207.699,0
208.199,0
208.699,0
209.199,0
209.699,1
210.199,1
210.78,2
210.897,2
211.051,1
211.667,2
211.801,2
211.967,2
212.069,2
212.48,2
212.608,0
212.77,0
213.353,2
213.599,2
213.849,1
214.066,0
215.047,2
215.45,0
215.74,0
215.93,2
216.143,1
216.249,2
216.675,1
216.829,0
216.992,2
217.242,2
217.459,0
217.728,0
217.838,0
218.01,0
219.345,2
219.55,1
219.634,0
219.725,0
220.178,2
220.327,2
220.382,2
221.017,1
221.131,1
221.279,0
222.002,1
222.502,1
223.002,2
223.502,2
224.4447,2
224.552,1
224.969,2
225.712,2
225.976,1
226.121,1
226.481,0
226.603,0
226.741,0
227.225,2
227.342,1
227.484,2
227.601,2
227.791,1
227.868,1
229.282,2
229.587,2
229.775,2
230.032,0
230.215,0
230.258,0
230.418,0
230.625,0
230.744,0
231.348,2
231.477,2
231.557,2
232.251,0
232.308,0
232.379,0
232.518,0
232.666,2
232.981,2
233.322,0
233.9,2
234.035,2
234.151,2
234.321,1
234.729,0
234.888,1
234.998,2
235.442,2
235.785,0
236.025,0
236.236,0
237.053,2
237.752,0
237.972,0
238.038,0
238.553,2
238.733,2
238.873,2
239.018,2
239.183,0
239.32,0
240.12,1
240.62,1
241.12,1
241.62,0
242.12,2
242.62,2
243.12,0
243.62,0
244.12,2
244.62,0
245.12,2
245.62,1
246.12,1
246.62,0
247.12,0
247.62,2
248.12,0
248.62,1
249.12,1
249.62,0
250.12,2
250.62,1
251.12,0
251.62,2
252.12,1
252.62,0
253.12,1
253.62,2
254.12,2
254.62,0
255.12,0
255.62,1
256.12,1
256.62,2
257.12,0
257.62,1
258.12,0
258.62,1
259.12,1
259.62,1
260.12,2
260.62,0
261.12,1
261.62,2
262.12,1
262.62,0
263.12,1
263.62,1
264.12,1
264.62,0
265.12,0
265.62,2
266.12,2
266.62,1
267.12,0
267.62,0
268.12,1
268.62,0
269.12,1
269.62,0
270.208,2
270.41,0
270.574,1
270.736,1
270.944,2
271.202,0
271.326,0
271.602,0
271.67,0
272.055,2
272.121,2
272.398,2
272.523,1
273.766,2
273.94,2
274.159,2
274.45,2
274.897,1
275.0,1
275.365,0
275.677,2
276.764,2
276.935,2
277.076,2
277.349,0
