start_time_s,label
30.736,1
31.59,1
31.704,1
31.818,1
31.966,1
33.448,1
33.574,1
33.943,1
35.233,1
35.479,1
35.62,1
38.275,0
38.47,1
38.684,1
38.916,1
42.587,0
47.279,1
47.524,1
48.172,1
48.531,1
48.935,1
49.046,1
49.283,1
49.449,1
49.781,1
49.93,1
50.671,0
50.957,1
51.152,1
52.142,0
58.932,1
66.1143,1
66.6143,1
67.1143,1
67.6143,1
68.1143,1
68.6143,1
69.1143,1
69.6143,1
70.1143,1
70.6143,1
71.1143,1
76.1143,1
76.6143,1
77.1143,1
77.6143,1
78.1143,1
78.6143,1
79.1143,1
79.6143,1
80.1143,1
80.6143,1
81.1143,1
81.6143,1
82.1143,1
82.6143,1
83.1143,1
84.1143,1
85.6143,0
89.6143,1
90.1143,1
90.943,1
91.052,1
91.326,1
91.428,1
91.476,1
91.796,1
91.942,1
92.825,1
92.945,1
93.263,1
93.418,1
93.555,1
93.741,1
93.872,1
94.423,1
94.691,1
94.846,1
95.104,1
95.374,1
96.19019999999999,1
96.69019999999999,1
97.19019999999999,1
97.69019999999999,1
98.19019999999999,1
98.69019999999999,1
99.19019999999999,1
99.69019999999999,1
100.19019999999999,1
100.823,1
100.903,1
101.121,1
101.241,1
101.644,1
101.748,1
103.718,1
103.826,1
104.035,1
104.153,1
104.43,1
104.566,1
105.38889999999999,1
105.88889999999999,1
106.38889999999999,1
106.955,1
107.045,1
107.288,1
107.634,1
107.783,1
107.927,1
108.007,1
109.605,1
109.858,1
110.029,1
110.41,1
110.624,1
111.105,1
111.192,1
111.484,1
111.715,1
111.92,1
113.34,1
113.444,1
113.511,1
113.993,1
114.089,1
114.553,1
114.776,1
115.8377,1
116.08,1
116.153,1
117.12,1
117.62,1
118.12,1
119.12,1
119.62,1
120.12,0
120.62,1
121.12,1
121.62,0
122.12,0
122.62,0
123.12,0
123.62,0
124.12,1
124.62,0
125.62,1
127.12,1
128.12,0
129.12,1
129.62,1
132.62,0
133.12,0
133.62,0
134.62,0
135.12,0
135.62,0
136.12,0
136.62,0
137.12,0
137.62,0
138.12,0
138.62,0
139.12,1
139.62,1
140.12,1
143.12,1
143.62,0
144.12,0
144.62,0
145.12,0
145.62,1
146.62,0
147.12,0
147.62,0
148.12,0
148.62,0
149.12,0
149.62,0
150.359,0
151.901,0
152.2,0
152.344,0
152.429,0
152.624,0
152.84,0
153.409,0
153.479,0
153.67,0
153.78,0
154.13,0
154.265,0
154.322,0
155.133,0
155.385,0
155.44,0
155.656,0
155.749,0
156.071,0
156.384,0
156.709,0
158.736,0
158.821,0
159.056,0
159.672,0
159.734,0
159.954,0
160.289,0
160.602,0
160.796,0
161.169,0
161.462,0
161.567,0
161.651,0
161.932,0
163.824,1
164.148,1
164.305,1
164.503,1
164.548,1
164.727,1
164.875,1
165.707,1
166.207,1
166.707,1
170.978,1
173.274,0
174.694,0
175.753,0
175.897,0
176.037,0
176.159,0
177.214,0
177.437,0
177.577,0
177.716,0
177.873,0
177.945,0
178.185,0
178.439,0
178.756,0
178.926,0
178.983,0
179.138,0
179.414,0
180.199,1
180.699,1
181.199,1
181.699,1
182.199,1
182.699,1
183.199,1
183.699,1
184.199,1
184.699,1
186.199,1
186.699,1
187.199,1
187.699,1
189.199,1
191.699,1
192.199,0
192.699,0
193.199,1
193.699,1
194.199,0
194.699,1
195.199,1
196.699,0
197.699,0
198.199,0
198.699,0
199.699,0
200.199,0
200.699,0
201.699,0
202.699,0
203.199,0
203.699,0
204.199,0
205.199,0
206.199,0
206.699,0
207.199,0
208.199,0
209.199,0
209.699,0
210.199,0
210.78,0
210.897,0
211.667,1
211.801,1
211.967,0
212.069,0
213.353,0
213.599,0
216.143,0
217.459,0
217.728,0
217.838,0
218.01,1
219.345,0
220.178,0
220.327,0
220.382,0
221.017,0
221.131,0
223.502,1
229.282,1
229.587,1
229.775,1
231.477,1
231.557,1
232.251,0
232.308,0
232.379,0
232.518,1
232.666,1
232.981,1
233.322,1
233.9,1
234.035,1
234.151,1
234.729,1
234.888,1
234.998,1
235.442,1
236.025,1
236.236,1
237.053,1
240.12,0
240.62,0
241.12,0
241.62,0
242.12,0
242.62,0
243.12,0
243.62,0
244.12,0
247.12,0
247.62,0
248.12,0
248.62,0
249.12,0
249.62,0
250.12,1
251.12,0
252.12,1
255.62,0
256.62,0
257.62,0
258.62,0
259.12,0
260.12,0
262.62,0
264.12,1
265.62,1
266.12,0
266.62,0
267.12,0
267.62,0
268.12,0
268.62,0
269.12,0
269.62,1
271.326,0
271.602,0
274.45,1
275.365,0
275.677,0
276.764,0
276.935,0
277.076,0
277.349,0
277.533,0
277.574,0
278.646,0
279.178,0
279.466,0
279.556,0
279.717,0
279.934,0
280.214,0
280.366,0
280.64,0
281.001,0
281.206,0
281.687,1
281.898,1
282.575,1
282.893,1
283.193,1
283.402,1
283.596,1
284.126,1
284.276,1
284.447,1
284.568,1
284.851,1
284.999,1
285.573,1
285.803,1
286.492,1
287.016,1
287.315,1
288.028,1
288.283,1
288.438,1
288.703,1
288.94,1
289.173,1
289.326,1
289.525,1
290.018,0
290.99,0
291.281,1
291.403,1
292.169,1
294.605,0
296.494,1
296.698,1
297.189,1
298.588,0
299.088,0
300.088,0
300.588,1
302.588,0
303.588,1
306.588,1
307.088,1
307.588,1
308.088,1
308.588,1
309.088,1
309.588,1
310.088,1
310.588,1
311.088,1
311.588,1
313.088,0
317.088,1
317.588,1
318.088,1
318.588,1
319.088,1
319.588,1
320.088,1
320.588,0
321.088,0
321.588,1
322.088,1
322.588,0
323.088,0
324.088,0
324.588,0
325.088,0
325.588,0
326.088,0
326.588,0
327.088,0
327.588,0
328.088,0
328.588,1
329.088,0
