start_time_s,label
30.736,2
31.59,2
31.704,2
31.818,2
31.966,2
32.93,1
33.248,1
33.304,1
33.448,2
33.574,2
33.943,2
34.939,1
35.233,2
35.479,2
35.62,2
36.601,1
36.711,1
36.863,1
36.911,1
37.226,1
37.516,1
38.072,1
38.275,0
38.47,2
38.684,2
38.916,2
39.302,1
39.773,1
40.865,1
41.14,1
41.246,1
42.084,1
42.38,1
42.587,0
44.003,1
44.679,1
44.924,1
47.279,2
47.524,2
47.682,1
47.72,1
47.905,1
48.172,2
48.531,2
48.935,2
49.046,2
49.213,1
49.283,2
49.449,2
49.781,2
49.93,2
50.671,0
50.957,2
51.152,2
51.376,1
51.525,1
51.886,1
52.038,1
52.142,0
52.616,1
52.831,1
53.58,1
53.739,1
54.387,1
54.574,1
54.629,1
54.84,1
54.993,1
55.053,1
55.689,1
56.341,1
56.488,1
56.633,1
56.724,1
57.143,1
57.488,1
57.752,1
57.957,1
58.007,1
58.233,1
58.932,2
59.039,1
59.199,1
59.432,1
59.47,1
59.611,1
60.6143,1
61.1143,1
61.6143,1
62.1143,1
62.6143,1
63.1143,1
63.6143,1
64.1143,1
64.6143,1
65.1143,1
65.6143,1
66.1143,2
66.6143,2
67.1143,2
67.6143,2
68.1143,2
68.6143,2
69.1143,2
69.6143,2
70.1143,2
70.6143,2
71.1143,2
71.6143,1
72.1143,1
72.6143,1
73.1143,1
73.6143,1
74.1143,1
74.6143,1
75.1143,1
75.6143,1
76.1143,2
76.6143,2
77.1143,2
77.6143,2
78.1143,2
78.6143,2
79.1143,2
79.6143,2
80.1143,2
80.6143,2
81.1143,2
81.6143,2
82.1143,2
82.6143,2
83.1143,2
83.6143,1
84.1143,2
84.6143,1
85.1143,1
85.6143,0
86.1143,1
86.6143,1
87.1143,1
87.6143,1
88.1143,1
88.6143,1
89.1143,1
89.6143,2
90.1143,2
90.943,2
91.052,2
91.326,2
91.428,2
91.476,2
91.796,2
91.942,2
92.825,2
92.945,2
93.263,2
93.418,2
93.555,2
93.741,2
93.872,2
94.423,2
94.691,2
94.846,2
95.104,2
95.374,2
96.19019999999999,2
96.69019999999999,2
97.19019999999999,2
97.69019999999999,2
98.19019999999999,2
98.69019999999999,2
99.19019999999999,2
99.69019999999999,2
100.19019999999999,2
100.823,2
100.903,2
101.121,2
101.241,2
101.644,2
101.748,2
103.718,2
103.826,2
104.035,2
104.153,2
104.43,2
104.566,2
105.38889999999999,2
105.88889999999999,2
106.38889999999999,2
106.955,2
107.045,2
107.288,2
107.634,2
107.783,2
107.927,2
108.007,2
109.605,2
109.858,2
110.029,2
110.41,2
110.624,2
111.105,2
111.192,2
111.484,2
111.715,2
111.92,2
113.34,2
113.444,2
113.511,2
113.993,2
114.089,2
114.553,2
114.776,2
115.8377,2
116.08,2
116.153,2
117.12,2
117.62,2
118.12,2
118.62,1
119.12,2
119.62,2
120.12,0
120.62,2
121.12,2
121.62,0
122.12,0
122.62,0
123.12,0
123.62,0
124.12,2
124.62,0
125.12,1
125.62,2
126.12,1
126.62,1
127.12,2
127.62,1
128.12,0
128.62,1
129.12,2
129.62,2
130.12,1
130.62,1
131.12,1
131.62,1
132.12,1
132.62,0
133.12,0
133.62,0
134.12,1
134.62,0
135.12,0
135.62,0
136.12,0
136.62,0
137.12,0
137.62,0
138.12,0
138.62,0
139.12,2
139.62,2
140.12,2
140.62,1
141.12,1
141.62,1
142.12,1
142.62,1
143.12,2
143.62,0
144.12,0
144.62,0
145.12,0
145.62,2
146.12,1
146.62,0
147.12,0
147.62,0
148.12,0
148.62,0
149.12,0
149.62,0
150.359,0
151.631,1
151.901,0
152.2,0
152.344,0
152.429,0
152.624,0
152.84,0
153.409,0
153.479,0
153.67,0
153.78,0
154.13,0
154.265,0
154.322,0
155.133,0
155.385,0
155.44,0
155.656,0
155.749,0
156.071,0
156.384,0
156.709,0
157.603,1
158.196,1
158.301,1
158.566,1
158.736,0
158.821,0
159.056,0
159.672,0
159.734,0
159.954,0
160.289,0
160.602,0
160.796,0
161.169,0
161.462,0
161.567,0
161.651,0
161.932,0
163.824,2
164.148,2
164.305,2
164.503,2
164.548,2
164.727,2
164.875,2
165.707,2
166.207,2
166.707,2
167.207,1
167.707,1
168.207,1
168.707,1
169.207,1
169.707,1
170.207,1
170.978,2
173.274,0
174.694,0
175.753,0
175.897,0
176.037,0
176.159,0
177.214,0
177.437,0
177.577,0
177.716,0
177.873,0
177.945,0
178.185,0
178.439,0
178.756,0
178.926,0
178.983,0
179.138,0
179.414,0
180.199,2
180.699,2
181.199,2
181.699,2
182.199,2
182.699,2
183.199,2
183.699,2
184.199,2
184.699,2
185.199,1
185.699,1
186.199,2
186.699,2
187.199,2
187.699,2
188.199,1
188.699,1
189.199,2
189.699,1
190.199,1
190.699,1
191.199,1
191.699,2
192.199,0
192.699,0
193.199,2
193.699,2
194.199,0
194.699,2
195.199,2
195.699,1
196.199,1
196.699,0
197.199,1
197.699,0
198.199,0
198.699,0
199.199,1
199.699,0
200.199,0
200.699,0
201.199,1
201.699,0
202.199,1
202.699,0
203.199,0
203.699,0
204.199,0
204.699,1
205.199,0
205.699,1
206.199,0
206.699,0
207.199,0
207.699,1
208.199,0
208.699,1
209.199,0
209.699,0
210.199,0
210.78,0
210.897,0
211.051,1
211.667,2
211.801,2
211.967,0
212.069,0
212.48,1
212.608,1
212.77,1
213.353,0
213.599,0
213.849,1
214.066,1
215.047,1
215.45,1
215.74,1
215.93,1
216.143,0
216.249,1
216.675,1
216.829,1
216.992,1
217.242,1
217.459,0
217.728,0
217.838,0
218.01,2
219.345,0
219.55,1
219.634,1
219.725,1
220.178,0
220.327,0
220.382,0
221.017,0
221.131,0
221.279,1
222.002,1
222.502,1
223.002,1
223.502,2
224.4447,1
224.552,1
224.969,1
225.712,1
225.976,1
226.121,1
226.481,1
226.603,1
226.741,1
227.225,1
227.342,1
227.484,1
227.601,1
227.791,1
227.868,1
229.282,2
229.587,2
229.775,2
230.032,1
230.215,1
230.258,1
230.418,1
230.625,1
230.744,1
231.348,1
231.477,2
231.557,2
232.251,0
232.308,0
232.379,0
232.518,2
232.666,2
232.981,2
233.322,2
233.9,2
234.035,2
234.151,2
234.321,1
234.729,2
234.888,2
234.998,2
235.442,2
235.785,1
236.025,2
236.236,2
237.053,2
237.752,1
237.972,1
238.038,1
238.553,1
238.733,1
238.873,1
239.018,1
239.183,1
239.32,1
240.12,0
240.62,0
241.12,0
241.62,0
242.12,0
242.62,0
243.12,0
243.62,0
244.12,0
244.62,1
245.12,1
245.62,1
246.12,1
246.62,1
247.12,0
247.62,0
248.12,0
248.62,0
249.12,0
249.62,0
250.12,2
250.62,1
251.12,0
251.62,1
252.12,2
252.62,1
253.12,1
253.62,1
254.12,1
254.62,1
255.12,1
255.62,0
256.12,1
256.62,0
257.12,1
257.62,0
258.12,1
258.62,0
259.12,0
259.62,1
260.12,0
260.62,1
261.12,1
261.62,1
262.12,1
262.62,0
263.12,1
263.62,1
264.12,2
264.62,1
265.12,1
265.62,2
266.12,0
266.62,0
267.12,0
267.62,0
268.12,0
268.62,0
269.12,0
269.62,2
270.208,1
270.41,1
270.574,1
270.736,1
270.944,1
271.202,1
271.326,0
271.602,0
271.67,1
272.055,1
272.121,1
272.398,1
272.523,1
273.766,1
273.94,1
274.159,1
274.45,2
274.897,1
275.0,1
275.365,0
275.677,0
276.764,0
276.935,0
277.076,0
277.349,0
