start_time_s,label
30.736,1
31.704,0
31.966,1
32.93,1
33.248,1
33.304,1
33.574,1
33.943,1
34.939,1
35.233,1
35.479,1
35.62,1
36.601,1
36.863,0
37.226,0
38.072,1
38.47,0
39.773,0
40.865,1
41.14,0
41.246,1
42.084,1
42.38,0
42.587,1
44.003,1
44.679,1
44.924,1
47.279,1
48.531,0
48.935,1
49.213,0
49.449,1
49.781,0
49.93,0
50.671,1
51.525,0
52.038,0
52.142,0
52.616,0
52.831,0
53.58,1
53.739,1
54.387,1
54.574,0
54.84,0
54.993,0
55.689,1
56.341,1
56.488,0
56.633,0
57.143,0
57.957,0
58.233,1
58.932,1
59.432,0
59.47,0
90.943,1
91.326,0
91.428,0
91.476,1
91.796,0
91.942,0
92.825,1
93.872,1
94.423,0
95.374,0
100.823,1
101.241,1
101.644,0
101.748,0
103.718,1
103.826,0
104.035,0
104.43,0
107.783,0
107.927,0
108.007,1
109.605,1
109.858,0
110.029,1
111.105,0
111.192,0
111.715,0
113.34,1
113.444,0
113.511,1
113.993,0
114.089,0
114.553,0
114.776,1
115.8377,0
116.08,0
150.359,1
152.2,1
152.344,0
152.429,0
152.84,0
153.409,1
154.13,1
154.265,0
155.133,1
155.44,0
155.656,0
155.749,1
156.384,0
157.603,1
158.196,1
158.301,1
158.736,0
158.821,1
159.056,1
159.672,0
160.289,1
160.602,0
160.796,1
161.169,0
161.462,0
161.567,0
161.651,0
161.932,0
164.148,1
164.503,0
164.727,0
170.978,1
173.274,1
174.694,1
176.037,0
176.159,1
177.214,1
177.437,0
177.577,0
177.716,0
177.873,0
178.439,0
178.926,0
178.983,0
210.78,1
211.051,1
211.667,0
211.801,0
211.967,0
212.069,1
212.48,0
212.608,0
212.77,1
213.353,1
213.599,1
213.849,1
214.066,1
215.047,1
215.45,1
215.74,1
215.93,1
216.143,0
216.249,0
216.675,1
216.829,1
216.992,0
217.728,0
217.838,1
219.345,1
219.55,0
219.634,0
220.178,1
220.327,0
224.4447,1
225.712,1
226.481,0
226.741,1
227.484,0
227.791,0
227.868,0
229.282,1
229.775,0
230.215,0
230.258,0
230.418,0
230.625,0
230.744,0
231.348,1
231.477,0
231.557,1
232.251,0
232.308,0
232.981,0
233.322,0
233.9,1
234.035,0
234.151,0
234.321,0
234.729,0
234.888,0
237.053,1
237.752,1
238.553,1
238.733,0
238.873,0
239.018,0
239.183,0
239.32,1
270.208,1
270.41,1
270.736,0
270.944,1
271.326,0
271.602,0
272.055,0
273.766,1
273.94,1
274.159,1
274.897,1
275.0,1
275.677,1
276.764,1
277.076,1
277.349,0
277.533,0
278.646,1
279.178,1
279.466,0
279.717,1
280.366,1
280.64,1
281.001,0
281.206,1
281.687,1
281.898,1
282.575,1
282.893,1
284.126,1
284.447,0
284.851,0
284.999,0
285.099,0
285.573,1
285.803,1
286.257,0
286.492,1
287.016,1
287.315,1
288.028,1
288.703,0
289.173,0
289.326,0
289.525,1
290.018,0
290.288,1
290.99,0
291.281,0
292.169,1
292.721,0
293.053,0
293.951,1
294.605,1
295.106,1
296.011,1
296.494,1
297.189,1
331.598,1
331.835,1
332.307,0
332.427,1
332.629,0
332.734,0
332.816,0
333.184,0
333.428,0
333.712,0
333.924,0
334.424,1
334.675,1
334.815,1
342.145,1
343.04,1
344.378,1
344.703,0
345.584,1
349.13,1
349.242,1
349.641,1
349.998,0
350.195,1
351.428,1
353.222,1
353.818,0
354.011,0
354.082,1
354.516,1
354.862,0
354.894,0
355.236,0
355.874,1
356.335,0
356.476,0
357.479,0
357.659,0
357.697,1
