start_time_s,label
30.736,2
31.59,1
31.704,0
31.818,1
31.966,2
32.93,2
33.248,2
33.304,2
33.448,1
33.574,2
33.943,2
34.939,2
35.233,2
35.479,2
35.62,2
36.601,2
36.711,1
36.863,0
36.911,1
37.226,0
37.516,1
38.072,2
38.275,1
38.47,0
38.684,1
38.916,1
39.302,1
39.773,0
40.865,2
41.14,0
41.246,2
42.084,2
42.38,0
42.587,2
44.003,2
44.679,2
44.924,2
47.279,2
47.524,1
47.682,1
47.72,1
47.905,1
48.172,1
48.531,0
48.935,2
49.046,1
49.213,0
49.283,1
49.449,2
49.781,0
49.93,0
50.671,2
50.957,1
51.152,1
51.376,1
51.525,0
51.886,1
52.038,0
52.142,0
52.616,0
52.831,0
53.58,2
53.739,2
54.387,2
54.574,0
54.629,1
54.84,0
54.993,0
55.053,1
55.689,2
56.341,2
56.488,0
56.633,0
56.724,1
57.143,0
57.488,1
57.752,1
57.957,0
58.007,1
58.233,2
58.932,2
59.039,1
59.199,1
59.432,0
59.47,0
59.611,1
90.943,2
91.052,1
91.326,0
91.428,0
91.476,2
91.796,0
91.942,0
92.825,2
92.945,1
93.263,1
93.418,1
93.555,1
93.741,1
93.872,2
94.423,0
94.691,1
94.846,1
95.104,1
95.374,0
100.823,2
100.903,1
101.121,1
101.241,2
101.644,0
101.748,0
103.718,2
103.826,0
104.035,0
104.153,1
104.43,0
104.566,1
106.955,1
107.045,1
107.288,1
107.634,1
107.783,0
107.927,0
108.007,2
109.605,2
109.858,0
110.029,2
110.41,1
110.624,1
111.105,0
111.192,0
111.484,1
111.715,0
111.92,1
113.34,2
113.444,0
113.511,2
113.993,0
114.089,0
114.553,0
114.776,2
115.8377,0
116.08,0
116.153,1
150.359,2
151.631,1
151.901,1
152.2,2
152.344,0
152.429,0
152.624,1
152.84,0
153.409,2
153.479,1
153.67,1
153.78,1
154.13,2
154.265,0
154.322,1
155.133,2
155.385,1
155.44,0
155.656,0
155.749,2
156.071,1
156.384,0
156.709,1
157.603,2
158.196,2
158.301,2
158.566,1
158.736,0
158.821,2
159.056,2
159.672,0
159.734,1
159.954,1
160.289,2
160.602,0
160.796,2
161.169,0
161.462,0
161.567,0
161.651,0
161.932,0
163.824,1
164.148,2
164.305,1
164.503,0
164.548,1
164.727,0
164.875,1
170.978,2
173.274,2
174.694,2
175.753,1
175.897,1
176.037,0
176.159,2
177.214,2
177.437,0
177.577,0
177.716,0
177.873,0
177.945,1
178.185,1
178.439,0
178.756,1
178.926,0
178.983,0
179.138,1
179.414,1
210.78,2
210.897,1
211.051,2
211.667,0
211.801,0
211.967,0
212.069,2
212.48,0
212.608,0
212.77,2
213.353,2
213.599,2
213.849,2
214.066,2
215.047,2
215.45,2
215.74,2
215.93,2
216.143,0
216.249,0
216.675,2
216.829,2
216.992,0
217.242,1
217.459,1
217.728,0
217.838,2
218.01,1
219.345,2
219.55,0
219.634,0
219.725,1
220.178,2
220.327,0
220.382,1
221.017,1
221.131,1
221.279,1
224.4447,2
224.552,1
224.969,1
225.712,2
225.976,1
226.121,1
226.481,0
226.603,1
226.741,2
227.225,1
227.342,1
227.484,0
227.601,1
227.791,0
227.868,0
229.282,2
229.587,1
229.775,0
230.032,1
230.215,0
230.258,0
230.418,0
230.625,0
230.744,0
231.348,2
231.477,0
231.557,2
232.251,0
232.308,0
232.379,1
232.518,1
232.666,1
232.981,0
233.322,0
233.9,2
234.035,0
234.151,0
234.321,0
234.729,0
234.888,0
234.998,1
235.442,1
235.785,1
236.025,1
236.236,1
237.053,2
237.752,2
237.972,1
238.038,1
238.553,2
238.733,0
238.873,0
239.018,0
239.183,0
239.32,2
270.208,2
270.41,2
270.574,1
270.736,0
270.944,2
271.202,1
271.326,0
271.602,0
271.67,1
272.055,0
272.121,1
272.398,1
272.523,1
273.766,2
273.94,2
274.159,2
274.45,1
274.897,2
275.0,2
275.365,1
275.677,2
276.764,2
276.935,1
277.076,2
277.349,0
277.533,0
277.574,1
278.646,2
279.178,2
279.466,0
279.556,1
279.717,2
279.934,1
280.214,1
280.366,2
280.64,2
281.001,0
281.206,2
281.687,2
281.898,2
282.575,2
282.893,2
283.193,1
283.402,1
283.596,1
284.126,2
284.276,1
284.447,0
284.568,1
284.851,0
284.999,0
285.099,0
285.573,2
285.803,2
286.257,0
286.492,2
287.016,2
287.315,2
288.028,2
288.283,1
288.438,1
288.703,0
288.94,1
289.173,0
289.326,0
289.525,2
289.733,1
290.018,0
290.288,2
290.559,1
290.99,0
291.281,0
291.403,1
292.169,2
292.721,0
293.053,0
293.951,2
294.605,2
294.98,1
295.106,2
296.011,2
296.494,2
296.698,1
297.189,2
331.598,2
331.728,1
331.835,2
332.129,1
332.307,0
332.427,2
332.629,0
332.734,0
332.816,0
333.03,1
333.184,0
333.326,1
333.428,0
333.712,0
333.924,0
334.059,1
334.181,1
334.424,2
334.675,2
334.815,2
342.145,2
343.04,2
344.378,2
344.703,0
345.584,2
345.744,1
345.882,1
349.13,2
349.242,2
349.641,2
349.998,0
350.195,2
351.258,1
351.428,2
353.222,2
353.569,1
353.773,1
353.818,0
354.011,0
354.082,2
354.516,2
354.629,1
354.862,0
354.894,0
354.976,1
355.236,0
355.874,2
356.046,1
356.335,0
356.476,0
356.67,1
356.895,1
357.19,1
357.479,0
357.659,0
357.697,2
