start_time_s,label
30.736,1
31.59,1
31.704,1
31.818,1
31.966,1
32.93,1
33.248,1
33.304,1
33.448,1
33.574,1
33.943,1
34.939,1
35.233,1
35.479,1
35.62,1
38.684,0
38.916,0
39.302,0
39.773,0
40.865,0
41.14,0
41.246,0
42.084,0
42.38,0
42.587,0
44.679,0
44.924,0
48.172,0
49.781,0
49.93,0
50.671,0
50.957,1
51.152,1
52.831,0
56.633,0
56.724,0
57.752,1
57.957,1
58.007,1
58.233,1
58.932,1
59.039,1
59.199,1
59.611,1
60.6143,0
61.1143,0
61.6143,0
62.1143,0
62.6143,0
63.1143,0
63.6143,0
64.1143,0
65.1143,0
65.6143,0
66.1143,1
66.6143,1
67.1143,1
67.6143,1
68.1143,1
68.6143,1
69.1143,1
69.6143,1
70.1143,1
70.6143,1
71.1143,1
71.6143,0
72.1143,0
72.6143,0
73.1143,0
73.6143,0
76.6143,1
77.1143,1
78.1143,1
78.6143,1
79.1143,1
79.6143,1
80.1143,1
80.6143,1
81.1143,1
81.6143,1
85.6143,0
86.1143,0
86.6143,0
87.1143,0
87.6143,0
88.1143,0
88.6143,0
89.1143,0
89.6143,1
91.052,0
91.326,0
92.825,1
92.945,1
93.263,1
93.418,1
93.555,1
94.846,0
98.69019999999999,0
103.826,0
105.38889999999999,0
111.715,0
113.34,1
113.444,1
113.511,1
115.8377,1
116.08,1
116.153,1
117.12,1
117.62,1
118.12,1
119.12,0
119.62,1
120.12,1
120.62,1
121.12,1
121.62,1
122.12,0
122.62,0
123.12,0
123.62,0
124.12,1
124.62,1
125.62,1
126.12,1
126.62,1
127.12,1
128.62,1
129.12,1
129.62,1
130.12,1
131.62,1
132.12,1
133.12,1
135.12,0
136.12,0
136.62,0
137.12,0
137.62,0
138.12,0
139.12,1
139.62,1
140.12,1
140.62,1
141.12,1
143.12,1
143.62,0
144.12,0
144.62,0
145.62,1
146.12,0
147.12,0
147.62,0
148.12,0
149.62,0
150.359,0
152.344,0
152.429,0
152.624,0
152.84,0
153.409,0
153.479,0
153.67,0
153.78,0
154.13,0
154.265,0
154.322,0
155.133,0
155.385,0
155.44,0
156.384,0
156.709,0
158.196,0
158.301,0
158.566,0
158.736,0
158.821,0
159.672,0
159.734,0
160.602,0
161.462,1
161.567,1
161.651,1
161.932,1
163.824,1
164.148,1
164.305,1
164.503,1
164.548,1
164.727,1
164.875,1
165.707,1
166.207,1
166.707,1
167.207,1
167.707,1
169.207,1
169.707,1
170.978,1
173.274,0
174.694,0
176.159,0
177.214,0
177.437,0
177.577,0
177.716,0
177.873,0
177.945,0
178.185,0
178.983,0
179.138,0
179.414,0
180.199,1
180.699,1
181.199,1
181.699,1
182.199,1
182.699,1
183.199,1
183.699,1
184.199,1
184.699,1
185.199,1
185.699,1
186.199,1
186.699,1
187.199,1
187.699,1
188.199,1
188.699,1
190.199,1
190.699,1
191.199,1
191.699,1
192.199,0
192.699,0
193.199,0
193.699,0
194.699,1
195.199,1
195.699,1
197.699,0
198.199,0
199.699,0
200.199,0
200.699,0
201.699,1
202.199,1
202.699,0
203.199,0
203.699,0
204.199,0
205.699,1
208.199,0
208.699,0
211.051,1
211.667,1
211.801,0
211.967,0
212.069,0
212.48,0
212.608,0
212.77,0
213.353,0
213.599,0
213.849,0
214.066,0
215.047,0
215.74,0
215.93,0
216.675,0
216.829,0
216.992,0
217.242,0
218.01,1
219.345,0
219.55,0
219.634,0
219.725,0
220.178,0
220.327,0
220.382,0
221.279,0
222.502,1
223.002,1
223.502,0
224.969,0
225.712,0
225.976,0
226.121,0
226.481,0
226.603,0
226.741,0
227.225,0
227.342,0
227.484,0
227.601,0
227.791,0
227.868,0
230.625,0
230.744,0
231.348,0
231.477,0
232.251,0
232.308,0
232.379,0
235.442,1
236.236,1
237.053,1
237.752,0
238.873,0
239.018,0
239.183,0
239.32,0
240.12,0
240.62,0
245.62,1
246.12,1
246.62,1
247.12,1
247.62,1
248.12,1
248.62,1
249.12,1
249.62,1
250.12,1
250.62,0
251.12,1
251.62,1
253.12,0
254.62,1
255.12,1
255.62,1
256.12,1
256.62,1
257.12,1
257.62,1
258.12,1
259.62,1
260.62,0
261.12,1
261.62,1
262.62,1
263.12,1
264.12,1
264.62,1
265.62,1
266.12,0
267.62,0
268.12,0
268.62,0
269.12,0
269.62,1
271.202,0
271.326,0
271.602,0
271.67,0
272.055,0
272.121,0
272.398,0
272.523,0
273.94,0
274.159,0
274.45,1
274.897,0
275.0,0
275.365,0
275.677,0
276.764,0
276.935,0
277.076,0
277.349,0
277.533,0
277.574,0
278.646,0
279.178,0
279.466,0
279.556,0
279.717,0
279.934,0
280.214,0
280.366,0
280.64,0
281.001,0
281.206,0
281.687,0
282.575,1
282.893,1
283.193,1
283.402,1
283.596,1
284.126,1
284.276,1
284.447,1
284.568,1
284.851,1
285.573,1
285.803,1
286.257,1
286.492,1
287.016,1
287.315,1
288.028,1
288.283,1
288.438,1
288.703,1
288.94,1
289.173,1
289.326,1
290.288,1
290.559,1
291.281,1
291.403,1
292.169,1
292.721,1
294.605,1
294.98,1
296.011,1
296.494,1
296.698,1
297.189,1
298.588,1
299.088,1
299.588,1
300.088,1
300.588,1
301.088,0
301.588,0
302.088,0
302.588,0
303.088,0
303.588,1
305.088,1
306.588,1
307.088,1
307.588,1
308.088,1
308.588,1
309.088,1
309.588,1
310.088,1
310.588,1
311.088,1
311.588,1
312.088,1
312.588,1
313.588,1
314.088,1
314.588,1
316.588,1
317.588,1
318.088,1
318.588,1
319.088,1
319.588,1
320.088,1
320.588,0
321.088,0
321.588,1
322.088,1
322.588,0
323.588,1
324.088,1
324.588,0
325.588,0
326.088,0
326.588,0
327.088,0
327.588,1
