start_time_s,label
30.736,2
31.59,2
31.704,2
31.818,2
31.966,2
32.93,2
33.248,2
33.304,2
33.448,2
33.574,2
33.943,2
34.939,2
35.233,2
35.479,2
35.62,2
36.601,1
36.711,1
36.863,1
36.911,1
37.226,1
37.516,1
38.072,1
38.275,1
38.47,1
38.684,0
38.916,0
39.302,0
39.773,0
40.865,0
41.14,0
41.246,0
42.084,0
42.38,0
42.587,0
44.003,1
44.679,0
44.924,0
47.279,1
47.524,1
47.682,1
47.72,1
47.905,1
48.172,0
48.531,1
48.935,1
49.046,1
49.213,1
49.283,1
49.449,1
49.781,0
49.93,0
50.671,0
50.957,2
51.152,2
51.376,1
51.525,1
51.886,1
52.038,1
52.142,1
52.616,1
52.831,0
53.58,1
53.739,1
54.387,1
54.574,1
54.629,1
54.84,1
54.993,1
55.053,1
55.689,1
56.341,1
56.488,1
56.633,0
56.724,0
57.143,1
57.488,1
57.752,2
57.957,2
58.007,2
58.233,2
58.932,2
59.039,2
59.199,2
59.432,1
59.47,1
59.611,2
60.6143,0
61.1143,0
61.6143,0
62.1143,0
62.6143,0
63.1143,0
63.6143,0
64.1143,0
64.6143,1
65.1143,0
65.6143,0
66.1143,2
66.6143,2
67.1143,2
67.6143,2
68.1143,2
68.6143,2
69.1143,2
69.6143,2
70.1143,2
70.6143,2
71.1143,2
71.6143,0
72.1143,0
72.6143,0
73.1143,0
73.6143,0
74.1143,1
74.6143,1
75.1143,1
75.6143,1
76.1143,1
76.6143,2
77.1143,2
77.6143,1
78.1143,2
78.6143,2
79.1143,2
79.6143,2
80.1143,2
80.6143,2
81.1143,2
81.6143,2
82.1143,1
82.6143,1
83.1143,1
83.6143,1
84.1143,1
84.6143,1
85.1143,1
85.6143,0
86.1143,0
86.6143,0
87.1143,0
87.6143,0
88.1143,0
88.6143,0
89.1143,0
89.6143,2
90.1143,1
90.943,1
91.052,0
91.326,0
91.428,1
91.476,1
91.796,1
91.942,1
92.825,2
92.945,2
93.263,2
93.418,2
93.555,2
93.741,1
93.872,1
94.423,1
94.691,1
94.846,0
95.104,1
95.374,1
96.19019999999999,1
96.69019999999999,1
97.19019999999999,1
97.69019999999999,1
98.19019999999999,1
98.69019999999999,0
99.19019999999999,1
99.69019999999999,1
100.19019999999999,1
100.823,1
100.903,1
101.121,1
101.241,1
101.644,1
101.748,1
103.718,1
103.826,0
104.035,1
104.153,1
104.43,1
104.566,1
105.38889999999999,0
105.88889999999999,1
106.38889999999999,1
106.955,1
107.045,1
107.288,1
107.634,1
107.783,1
107.927,1
108.007,1
109.605,1
109.858,1
110.029,1
110.41,1
110.624,1
111.105,1
111.192,1
111.484,1
111.715,0
111.92,1
113.34,2
113.444,2
113.511,2
113.993,1
114.089,1
114.553,1
114.776,1
115.8377,2
116.08,2
116.153,2
117.12,2
117.62,2
118.12,2
118.62,1
119.12,0
119.62,2
120.12,2
120.62,2
121.12,2
121.62,2
122.12,0
122.62,0
123.12,0
123.62,0
124.12,2
124.62,2
125.12,1
125.62,2
126.12,2
126.62,2
127.12,2
127.62,1
128.12,1
128.62,2
129.12,2
129.62,2
130.12,2
130.62,1
131.12,1
131.62,2
132.12,2
132.62,1
133.12,2
133.62,1
134.12,1
134.62,1
135.12,0
135.62,1
136.12,0
136.62,0
137.12,0
137.62,0
138.12,0
138.62,1
139.12,2
139.62,2
140.12,2
140.62,2
141.12,2
141.62,1
142.12,1
142.62,1
143.12,2
143.62,0
144.12,0
144.62,0
145.12,1
145.62,2
146.12,0
146.62,1
147.12,0
147.62,0
148.12,0
148.62,1
149.12,1
149.62,0
150.359,0
151.631,1
151.901,1
152.2,1
152.344,0
152.429,0
152.624,0
152.84,0
153.409,0
153.479,0
153.67,0
153.78,0
154.13,0
154.265,0
154.322,0
155.133,0
155.385,0
155.44,0
155.656,1
155.749,1
156.071,1
156.384,0
156.709,0
157.603,1
158.196,0
158.301,0
158.566,0
158.736,0
158.821,0
159.056,1
159.672,0
159.734,0
159.954,1
160.289,1
160.602,0
160.796,1
161.169,1
161.462,2
161.567,2
161.651,2
161.932,2
163.824,2
164.148,2
164.305,2
164.503,2
164.548,2
164.727,2
164.875,2
165.707,2
166.207,2
166.707,2
167.207,2
167.707,2
168.207,1
168.707,1
169.207,2
169.707,2
170.207,1
170.978,2
173.274,0
174.694,0
175.753,1
175.897,1
176.037,1
176.159,0
177.214,0
177.437,0
177.577,0
177.716,0
177.873,0
177.945,0
178.185,0
178.439,1
178.756,1
178.926,1
178.983,0
179.138,0
179.414,0
180.199,2
180.699,2
181.199,2
181.699,2
182.199,2
182.699,2
183.199,2
183.699,2
184.199,2
184.699,2
185.199,2
185.699,2
186.199,2
186.699,2
187.199,2
187.699,2
188.199,2
188.699,2
189.199,1
189.699,1
190.199,2
190.699,2
191.199,2
191.699,2
192.199,0
192.699,0
193.199,0
193.699,0
194.199,1
194.699,2
195.199,2
195.699,2
196.199,1
196.699,1
197.199,1
197.699,0
198.199,0
198.699,1
199.199,1
199.699,0
200.199,0
200.699,0
201.199,1
201.699,2
202.199,2
202.699,0
203.199,0
203.699,0
204.199,0
204.699,1
205.199,1
205.699,2
206.199,1
206.699,1
207.199,1
207.699,1
208.199,0
208.699,0
209.199,1
209.699,1
210.199,1
210.78,1
210.897,1
211.051,2
211.667,2
211.801,0
211.967,0
212.069,0
212.48,0
212.608,0
212.77,0
213.353,0
213.599,0
213.849,0
214.066,0
215.047,0
215.45,1
215.74,0
215.93,0
216.143,1
216.249,1
216.675,0
216.829,0
216.992,0
217.242,0
217.459,1
217.728,1
217.838,1
218.01,2
219.345,0
219.55,0
219.634,0
219.725,0
220.178,0
220.327,0
220.382,0
221.017,1
221.131,1
221.279,0
222.002,1
222.502,2
223.002,2
223.502,0
224.4447,1
224.552,1
224.969,0
225.712,0
225.976,0
226.121,0
226.481,0
226.603,0
226.741,0
227.225,0
227.342,0
227.484,0
227.601,0
227.791,0
227.868,0
229.282,1
229.587,1
229.775,1
230.032,1
230.215,1
230.258,1
230.418,1
230.625,0
230.744,0
231.348,0
231.477,0
231.557,1
232.251,0
232.308,0
232.379,0
232.518,1
232.666,1
232.981,1
233.322,1
233.9,1
234.035,1
234.151,1
234.321,1
234.729,1
234.888,1
234.998,1
235.442,2
235.785,1
236.025,1
236.236,2
237.053,2
237.752,0
237.972,1
238.038,1
238.553,1
238.733,1
238.873,0
239.018,0
239.183,0
239.32,0
240.12,0
240.62,0
241.12,1
241.62,1
242.12,1
242.62,1
243.12,1
243.62,1
244.12,1
244.62,1
245.12,1
245.62,2
246.12,2
246.62,2
247.12,2
247.62,2
248.12,2
248.62,2
249.12,2
249.62,2
250.12,2
250.62,0
251.12,2
251.62,2
252.12,1
252.62,1
253.12,0
253.62,1
254.12,1
254.62,2
255.12,2
255.62,2
256.12,2
256.62,2
257.12,2
257.62,2
258.12,2
258.62,1
259.12,1
259.62,2
260.12,1
260.62,0
261.12,2
261.62,2
262.12,1
262.62,2
263.12,2
263.62,1
264.12,2
264.62,2
265.12,1
265.62,2
266.12,0
266.62,1
267.12,1
267.62,0
268.12,0
268.62,0
269.12,0
269.62,2
270.208,1
270.41,1
270.574,1
270.736,1
270.944,1
271.202,0
271.326,0
271.602,0
271.67,0
272.055,0
272.121,0
272.398,0
272.523,0
273.766,1
273.94,0
274.159,0
274.45,2
274.897,0
275.0,0
275.365,0
275.677,0
276.764,0
276.935,0
277.076,0
277.349,0
