start_time_s,label
30.736,1
32.93,0
33.248,0
33.304,0
33.448,0
33.574,0
33.943,1
34.939,1
35.233,0
35.479,0
35.62,0
36.601,0
36.711,0
36.863,0
36.911,0
37.226,0
38.684,0
38.916,0
39.302,0
39.773,1
40.865,0
41.14,0
41.246,0
42.084,0
44.003,0
44.679,0
44.924,0
47.279,0
47.524,0
47.682,0
47.72,0
47.905,0
48.172,0
48.531,0
49.046,0
49.213,0
49.283,0
49.449,0
49.93,0
50.957,0
51.152,0
52.038,0
52.142,0
52.616,0
52.831,0
53.58,0
53.739,0
54.387,0
54.574,0
54.629,0
54.84,0
54.993,0
55.053,0
55.689,0
56.341,0
57.488,0
58.932,0
59.039,0
59.199,0
59.432,0
59.47,0
60.6143,0
61.6143,0
62.1143,0
63.6143,0
64.1143,0
65.1143,1
65.6143,1
66.1143,1
67.1143,0
68.1143,1
68.6143,1
69.1143,1
69.6143,0
70.1143,1
70.6143,1
71.1143,1
72.6143,1
73.1143,1
73.6143,1
74.1143,1
74.6143,1
75.6143,0
76.1143,0
76.6143,0
77.1143,1
77.6143,1
78.1143,1
78.6143,1
79.1143,1
80.6143,1
81.1143,1
81.6143,1
82.6143,0
84.1143,1
84.6143,1
85.6143,1
86.1143,1
86.6143,1
87.6143,0
88.1143,1
89.1143,0
89.6143,0
90.1143,0
91.942,0
92.825,0
93.263,0
93.418,0
93.555,0
94.423,0
94.691,0
94.846,0
95.104,0
95.374,0
96.69019999999999,0
97.19019999999999,0
97.69019999999999,0
98.19019999999999,1
98.69019999999999,0
99.19019999999999,0
99.69019999999999,0
100.823,0
101.644,0
101.748,0
103.718,0
104.035,1
104.153,1
105.88889999999999,0
106.38889999999999,0
107.288,1
107.634,1
109.858,0
110.41,1
111.192,0
111.484,0
111.715,0
111.92,0
117.12,0
118.12,1
118.62,1
119.12,1
119.62,0
120.12,1
120.62,1
121.12,1
121.62,0
122.12,0
122.62,1
123.12,0
123.62,1
124.12,1
124.62,1
126.12,1
127.12,0
128.12,0
128.62,1
129.12,1
129.62,1
130.12,1
130.62,1
131.12,1
132.12,1
133.62,1
134.12,1
134.62,1
135.12,1
135.62,0
136.12,0
137.12,1
139.12,1
139.62,0
141.12,1
142.62,1
143.12,1
143.62,1
144.12,1
144.62,1
145.12,1
145.62,1
146.12,1
146.62,1
147.12,1
147.62,1
148.12,1
149.62,0
152.2,1
152.344,1
152.429,1
153.409,0
153.479,0
153.78,1
154.13,1
154.265,1
156.071,0
156.384,0
156.709,0
157.603,0
158.736,0
158.821,0
159.056,0
160.602,0
160.796,0
161.169,1
161.462,1
161.567,1
161.651,1
161.932,1
164.148,0
164.305,0
164.503,0
164.548,0
164.875,1
165.707,1
166.207,1
167.207,0
169.207,1
169.707,1
170.207,1
173.274,1
175.753,0
175.897,0
176.159,1
177.214,1
177.437,1
177.577,1
177.716,1
177.873,1
177.945,1
178.185,0
178.439,0
178.756,0
178.926,0
178.983,0
180.199,0
181.699,0
182.199,0
183.699,0
184.199,0
185.199,1
185.699,1
186.199,1
187.199,0
187.699,0
188.199,1
188.699,1
189.699,0
190.199,1
190.699,1
191.199,1
192.699,1
193.199,1
193.699,1
194.199,1
