start_time_s,label
30.736,2
31.59,1
31.704,1
31.818,1
31.966,1
32.93,0
33.248,0
33.304,0
33.448,0
33.574,0
33.943,2
34.939,2
35.233,0
35.479,0
35.62,0
36.601,0
36.711,0
36.863,0
36.911,0
37.226,0
37.516,1
38.072,1
38.275,1
38.47,1
38.684,0
38.916,0
39.302,0
39.773,2
40.865,0
41.14,0
41.246,0
42.084,0
42.38,1
42.587,1
44.003,0
44.679,0
44.924,0
47.279,0
47.524,0
47.682,0
47.72,0
47.905,0
48.172,0
48.531,0
48.935,1
49.046,0
49.213,0
49.283,0
49.449,0
49.781,1
49.93,0
50.671,1
50.957,0
51.152,0
51.376,1
51.525,1
51.886,1
52.038,0
52.142,0
52.616,0
52.831,0
53.58,0
53.739,0
54.387,0
54.574,0
54.629,0
54.84,0
54.993,0
55.053,0
55.689,0
56.341,0
56.488,1
56.633,1
56.724,1
57.143,1
57.488,0
57.752,1
57.957,1
58.007,1
58.233,1
58.932,0
59.039,0
59.199,0
59.432,0
59.47,0
59.611,1
60.6143,0
61.1143,1
61.6143,0
62.1143,0
62.6143,1
63.1143,1
63.6143,0
64.1143,0
64.6143,1
65.1143,2
65.6143,2
66.1143,2
66.6143,1
67.1143,0
67.6143,1
68.1143,2
68.6143,2
69.1143,2
69.6143,0
70.1143,2
70.6143,2
71.1143,2
71.6143,1
72.1143,1
72.6143,2
73.1143,2
73.6143,2
74.1143,2
74.6143,2
75.1143,1
75.6143,0
76.1143,0
76.6143,0
77.1143,2
77.6143,2
78.1143,2
78.6143,2
79.1143,2
79.6143,1
80.1143,1
80.6143,2
81.1143,2
81.6143,2
82.1143,1
82.6143,0
83.1143,1
83.6143,1
84.1143,2
84.6143,2
85.1143,1
85.6143,2
86.1143,2
86.6143,2
87.1143,1
87.6143,0
88.1143,2
88.6143,1
89.1143,0
89.6143,0
90.1143,0
90.943,1
91.052,1
91.326,1
91.428,1
91.476,1
91.796,1
91.942,0
92.825,0
92.945,1
93.263,0
93.418,0
93.555,0
93.741,1
93.872,1
94.423,0
94.691,0
94.846,0
95.104,0
95.374,0
96.19019999999999,1
96.69019999999999,0
97.19019999999999,0
97.69019999999999,0
98.19019999999999,2
98.69019999999999,0
99.19019999999999,0
99.69019999999999,0
100.19019999999999,1
100.823,0
100.903,1
101.121,1
101.241,1
101.644,0
101.748,0
103.718,0
103.826,1
104.035,2
104.153,2
104.43,1
104.566,1
105.38889999999999,1
105.88889999999999,0
106.38889999999999,0
106.955,1
107.045,1
107.288,2
107.634,2
107.783,1
107.927,1
108.007,1
109.605,1
109.858,0
110.029,1
110.41,2
110.624,1
111.105,1
111.192,0
111.484,0
111.715,0
111.92,0
113.34,1
113.444,1
113.511,1
113.993,1
114.089,1
114.553,1
114.776,1
115.8377,1
116.08,1
116.153,1
117.12,0
117.62,1
118.12,2
118.62,2
119.12,2
119.62,0
120.12,2
120.62,2
121.12,2
121.62,0
122.12,0
122.62,2
123.12,0
123.62,2
124.12,2
124.62,2
125.12,1
125.62,1
126.12,2
126.62,1
127.12,0
127.62,1
128.12,0
128.62,2
129.12,2
129.62,2
130.12,2
130.62,2
131.12,2
131.62,1
132.12,2
132.62,1
133.12,1
133.62,2
134.12,2
134.62,2
135.12,2
135.62,0
136.12,0
136.62,1
137.12,2
137.62,1
138.12,1
138.62,1
139.12,2
139.62,0
