start_time_s,label
30.736,1
31.59,1
31.704,1
31.818,1
31.966,1
32.93,1
33.248,1
33.304,1
33.448,1
33.574,1
33.943,1
34.939,1
35.233,1
35.479,1
35.62,1
36.601,1
36.711,1
36.863,1
36.911,1
37.226,1
37.516,1
38.072,1
38.275,1
38.47,1
38.684,1
38.916,1
39.302,1
39.773,1
40.865,1
41.14,1
41.246,1
42.084,1
42.38,1
42.587,1
44.003,1
44.679,1
44.924,1
47.279,1
47.524,1
47.682,1
47.72,1
47.905,1
48.172,1
48.531,1
48.935,1
49.046,1
49.213,1
49.283,1
49.449,1
49.781,1
49.93,1
50.671,1
50.957,1
51.152,1
51.376,1
51.525,1
51.886,1
52.038,1
52.142,1
52.616,1
52.831,1
53.58,1
53.739,1
54.387,1
54.574,1
54.629,1
54.84,1
54.993,1
55.053,1
55.689,1
56.341,1
56.488,1
56.633,1
56.724,1
57.143,1
57.488,1
57.752,1
57.957,1
58.007,1
58.233,1
58.932,1
59.039,1
59.199,1
59.432,1
59.47,1
59.611,1
60.6143,0
61.1143,0
61.6143,0
62.1143,0
62.6143,0
63.1143,0
63.6143,0
64.1143,0
64.6143,0
65.1143,0
65.6143,0
66.1143,0
66.6143,0
67.1143,0
67.6143,0
68.1143,0
68.6143,0
69.1143,0
69.6143,0
70.1143,0
70.6143,0
71.1143,0
71.6143,0
72.1143,0
72.6143,0
73.1143,0
73.6143,0
74.1143,0
74.6143,0
75.1143,0
75.6143,0
76.1143,0
76.6143,0
77.1143,0
77.6143,0
78.1143,0
78.6143,0
79.1143,0
79.6143,0
80.1143,0
80.6143,0
81.1143,0
81.6143,0
82.1143,0
82.6143,0
83.1143,0
83.6143,0
84.1143,0
84.6143,0
85.1143,0
85.6143,0
86.1143,0
86.6143,0
87.1143,0
87.6143,0
88.1143,0
88.6143,0
89.1143,0
89.6143,0
90.1143,0
90.943,1
91.052,1
91.326,1
91.428,1
91.476,1
91.796,1
91.942,1
92.825,1
92.945,1
93.263,1
93.418,1
93.555,1
93.741,1
93.872,1
94.423,1
94.691,1
94.846,1
95.104,1
95.374,1
96.19019999999999,0
96.69019999999999,0
97.19019999999999,0
97.69019999999999,0
98.19019999999999,0
98.69019999999999,0
99.19019999999999,0
99.69019999999999,0
100.19019999999999,0
100.823,1
100.903,1
101.121,1
101.241,1
101.644,1
101.748,1
103.718,1
103.826,1
104.035,1
104.153,1
104.43,1
104.566,1
105.38889999999999,0
105.88889999999999,0
106.38889999999999,0
106.955,1
107.045,1
107.288,1
107.634,1
107.783,1
107.927,1
108.007,1
109.605,1
109.858,1
110.029,1
110.41,1
110.624,1
111.105,1
111.192,1
111.484,1
111.715,1
111.92,1
113.34,1
113.444,1
113.511,1
113.993,1
114.089,1
114.553,1
114.776,1
115.8377,1
116.08,1
116.153,1
117.12,0
117.62,0
118.12,0
118.62,0
119.12,0
119.62,0
120.12,0
120.62,0
121.12,0
121.62,0
122.12,0
122.62,0
123.12,0
123.62,0
124.12,0
124.62,0
125.12,0
125.62,0
126.12,0
126.62,0
127.12,0
127.62,0
128.12,0
128.62,0
129.12,0
129.62,0
130.12,0
130.62,0
131.12,0
131.62,0
132.12,0
132.62,0
133.12,0
133.62,0
134.12,0
134.62,0
135.12,0
135.62,0
136.12,0
136.62,0
137.12,0
137.62,0
138.12,0
138.62,0
139.12,0
139.62,0
140.12,0
140.62,0
141.12,0
141.62,0
142.12,0
142.62,0
143.12,0
143.62,0
144.12,0
144.62,0
145.12,0
145.62,0
146.12,0
146.62,0
147.12,0
147.62,0
148.12,0
148.62,0
149.12,0
149.62,0
150.359,1
151.631,1
151.901,1
152.2,1
152.344,1
152.429,1
152.624,1
152.84,1
153.409,1
153.479,1
153.67,1
153.78,1
154.13,1
154.265,1
154.322,1
155.133,1
155.385,1
155.44,1
155.656,1
155.749,1
156.071,1
156.384,1
156.709,1
157.603,1
158.196,1
158.301,1
158.566,1
158.736,1
158.821,1
159.056,1
159.672,1
159.734,1
159.954,1
160.289,1
160.602,1
160.796,1
161.169,1
161.462,1
161.567,1
161.651,1
161.932,1
163.824,1
164.148,1
164.305,1
164.503,1
164.548,1
164.727,1
164.875,1
165.707,0
166.207,0
166.707,0
167.207,0
167.707,0
168.207,0
168.707,0
169.207,0
169.707,0
170.207,0
170.978,1
173.274,1
174.694,1
175.753,1
175.897,1
176.037,1
176.159,1
177.214,1
177.437,1
177.577,1
177.716,1
177.873,1
177.945,1
178.185,1
178.439,1
178.756,1
178.926,1
178.983,1
179.138,1
179.414,1
180.199,0
180.699,0
181.199,0
181.699,0
182.199,0
182.699,0
183.199,0
183.699,0
184.199,0
184.699,0
185.199,0
185.699,0
186.199,0
186.699,0
187.199,0
187.699,0
188.199,0
188.699,0
189.199,0
189.699,0
190.199,0
190.699,0
191.199,0
191.699,0
192.199,0
192.699,0
193.199,0
193.699,0
194.199,0
194.699,0
195.199,0
195.699,0
196.199,0
196.699,0
197.199,0
197.699,0
198.199,0
198.699,0
199.199,0
199.699,0
200.199,0
200.699,0
201.199,0
201.699,0
202.199,0
202.699,0
203.199,0
203.699,0
204.199,0
204.699,0
205.199,0
205.699,0
206.199,0
206.699,0
207.199,0
207.699,0
208.199,0
208.699,0
209.199,0
209.699,0
210.199,0
210.78,1
210.897,1
211.051,1
211.667,1
211.801,1
211.967,1
212.069,1
212.48,1
212.608,1
212.77,1
213.353,1
213.599,1
213.849,1
214.066,1
215.047,1
215.45,1
215.74,1
215.93,1
216.143,1
216.249,1
216.675,1
216.829,1
216.992,1
217.242,1
217.459,1
217.728,1
217.838,1
218.01,1
219.345,1
219.55,1
219.634,1
219.725,1
220.178,1
220.327,1
220.382,1
221.017,1
221.131,1
221.279,1
