start_time_s,label
30.736,0
31.966,0
34.939,0
35.479,0
35.62,0
36.601,1
36.711,1
37.226,0
37.516,0
38.072,1
38.47,0
39.302,0
39.773,0
40.865,1
41.14,1
41.246,1
42.084,1
42.38,1
44.679,1
44.924,1
47.524,1
48.172,0
48.531,0
49.046,1
49.213,1
49.283,1
49.449,1
49.781,0
49.93,0
51.376,0
51.525,0
51.886,0
52.616,0
52.831,0
53.58,0
54.387,0
54.574,0
54.629,0
54.84,0
54.993,0
55.053,0
55.689,0
56.633,0
57.143,1
57.488,0
57.957,0
58.007,0
58.233,0
58.932,1
59.039,1
59.199,1
59.611,0
60.6143,0
61.1143,0
61.6143,0
62.1143,0
62.6143,0
63.1143,0
63.6143,0
64.1143,0
64.6143,0
65.1143,0
65.6143,0
66.1143,0
66.6143,0
67.1143,0
67.6143,0
68.1143,0
68.6143,0
69.1143,0
69.6143,0
70.1143,0
70.6143,0
71.1143,0
71.6143,0
72.1143,0
72.6143,0
73.1143,0
73.6143,0
74.1143,0
74.6143,0
76.1143,0
76.6143,0
77.1143,0
77.6143,0
78.1143,0
78.6143,0
79.1143,0
79.6143,0
80.1143,0
80.6143,0
81.1143,0
81.6143,0
82.1143,0
83.1143,0
83.6143,0
84.1143,0
84.6143,0
85.1143,0
85.6143,0
86.1143,0
86.6143,0
87.1143,0
87.6143,0
88.1143,0
88.6143,0
89.1143,0
89.6143,0
90.1143,0
91.796,0
91.942,0
93.263,0
93.418,0
93.555,0
93.872,0
94.423,1
95.104,0
95.374,0
96.19019999999999,0
96.69019999999999,0
97.19019999999999,0
97.69019999999999,0
98.19019999999999,0
98.69019999999999,0
99.19019999999999,0
99.69019999999999,0
100.19019999999999,0
100.903,0
101.121,0
101.241,0
101.644,0
101.748,0
104.035,0
104.153,0
104.43,0
104.566,0
105.38889999999999,0
105.88889999999999,0
106.38889999999999,0
106.955,0
107.045,0
107.288,0
107.927,0
108.007,0
109.605,0
109.858,0
110.029,0
110.41,0
110.624,0
111.105,1
111.92,0
113.993,0
114.089,0
115.8377,0
116.08,0
116.153,0
117.12,0
117.62,0
118.12,0
118.62,0
123.12,1
123.62,1
125.12,1
125.62,1
127.12,1
128.12,1
130.62,1
131.12,1
131.62,1
132.62,1
133.12,1
134.12,0
135.12,0
135.62,0
136.12,0
136.62,0
137.12,0
139.12,0
139.62,1
142.12,1
148.12,0
148.62,0
149.12,0
149.62,0
151.631,1
151.901,1
152.2,1
152.344,1
152.429,1
152.624,1
153.409,1
153.479,1
153.67,1
153.78,1
154.13,0
154.265,0
154.322,0
155.133,1
155.385,1
155.749,1
156.071,1
156.384,1
157.603,1
158.196,1
158.301,1
158.566,1
158.736,1
158.821,1
159.056,1
159.672,1
159.734,1
159.954,1
160.289,1
160.602,1
160.796,1
161.169,1
161.462,0
161.932,0
163.824,1
164.148,1
164.727,0
164.875,0
166.207,1
166.707,1
167.207,1
168.707,0
169.207,0
169.707,0
170.207,0
170.978,1
173.274,1
174.694,1
175.753,1
177.437,0
177.577,0
177.873,1
177.945,1
178.185,1
178.439,1
178.983,0
179.138,0
179.414,0
180.199,0
180.699,0
182.199,0
183.699,1
184.199,0
184.699,1
185.199,1
185.699,1
186.199,1
186.699,1
187.199,1
187.699,1
188.199,1
188.699,1
189.199,1
189.699,1
190.199,1
190.699,1
191.199,1
191.699,1
192.199,1
192.699,1
193.199,1
193.699,1
194.199,1
194.699,1
195.199,1
195.699,1
196.199,1
196.699,1
197.199,1
197.699,1
198.199,1
198.699,1
199.199,1
199.699,1
200.199,1
200.699,1
201.199,1
201.699,1
202.199,1
202.699,1
203.199,1
203.699,1
204.199,1
204.699,1
