start_time_s,label
30.736,1
31.59,0
32.93,1
33.248,0
34.939,1
35.233,0
35.479,1
35.62,0
36.601,1
36.711,0
38.072,1
38.275,0
40.865,1
41.14,0
44.003,1
44.679,1
44.924,0
47.279,1
47.524,0
48.935,1
49.046,0
50.671,1
50.957,0
53.58,1
53.739,0
56.341,1
56.488,0
58.932,1
59.039,0
90.943,1
91.052,0
92.825,1
92.945,0
100.823,1
100.903,0
103.718,1
103.826,0
106.955,1
107.045,0
109.605,1
109.858,0
113.34,1
113.444,0
150.359,1
151.631,0
153.409,1
153.479,0
155.133,1
155.385,0
157.603,1
158.196,1
158.301,0
163.824,1
164.148,1
164.305,0
170.978,1
173.274,1
174.694,1
175.753,1
175.897,0
177.214,1
177.437,0
210.78,1
210.897,0
213.353,1
213.599,0
215.047,1
215.45,0
216.675,1
216.829,0
219.345,1
219.55,0
220.178,1
220.327,0
224.4447,1
224.552,0
225.712,1
225.976,0
229.282,1
229.587,0
231.348,1
231.477,0
233.9,1
234.035,0
237.053,1
237.752,0
238.553,1
238.733,0
270.208,1
270.41,0
273.766,1
273.94,0
274.897,1
275.0,0
276.764,1
276.935,0
278.646,1
279.178,0
281.898,1
282.575,0
282.893,1
283.193,0
284.126,1
284.276,0
285.573,1
285.803,0
288.028,1
288.283,0
290.288,1
290.559,0
292.169,1
292.721,0
296.494,1
296.698,0
331.598,1
331.728,0
342.145,1
343.04,0
345.584,1
345.744,0
349.13,1
349.242,0
353.222,1
353.569,0
354.516,1
354.629,0
355.874,1
356.046,0
