start_time_s,label
30.736,0
31.59,1
31.704,2
31.818,2
31.966,2
32.93,0
33.248,1
33.304,2
33.448,2
33.574,2
33.943,2
34.939,0
35.233,1
35.479,0
35.62,1
36.601,0
36.711,1
36.863,2
36.911,2
37.226,2
37.516,2
38.072,0
38.275,1
38.47,2
38.684,2
38.916,2
39.302,2
39.773,2
40.865,0
41.14,1
41.246,2
42.084,2
42.38,2
42.587,2
44.003,0
44.679,0
44.924,1
47.279,0
47.524,1
47.682,2
47.72,2
47.905,2
48.172,2
48.531,2
48.935,0
49.046,1
49.213,2
49.283,2
49.449,2
49.781,2
49.93,2
50.671,0
50.957,1
51.152,2
51.376,2
51.525,2
51.886,2
52.038,2
52.142,2
52.616,2
52.831,2
53.58,0
53.739,1
54.387,2
54.574,2
54.629,2
54.84,2
54.993,2
55.053,2
55.689,2
56.341,0
56.488,1
56.633,2
56.724,2
57.143,2
57.488,2
57.752,2
57.957,2
58.007,2
58.233,2
58.932,0
59.039,1
59.199,2
59.432,2
59.47,2
59.611,2
90.943,0
91.052,1
91.326,2
91.428,2
91.476,2
91.796,2
91.942,2
92.825,0
92.945,1
93.263,2
93.418,2
93.555,2
93.741,2
93.872,2
94.423,2
94.691,2
94.846,2
95.104,2
95.374,2
100.823,0
100.903,1
101.121,2
101.241,2
101.644,2
101.748,2
103.718,0
103.826,1
104.035,2
104.153,2
104.43,2
104.566,2
106.955,0
107.045,1
107.288,2
107.634,2
107.783,2
107.927,2
108.007,2
109.605,0
109.858,1
110.029,2
110.41,2
110.624,2
111.105,2
111.192,2
111.484,2
111.715,2
111.92,2
113.34,0
113.444,1
113.511,2
113.993,2
114.089,2
114.553,2
114.776,2
115.8377,2
116.08,2
116.153,2
150.359,0
151.631,1
151.901,2
152.2,2
152.344,2
152.429,2
152.624,2
152.84,2
153.409,0
153.479,1
153.67,2
153.78,2
154.13,2
154.265,2
154.322,2
155.133,0
155.385,1
155.44,2
155.656,2
155.749,2
156.071,2
156.384,2
156.709,2
157.603,0
158.196,0
158.301,1
158.566,2
158.736,2
158.821,2
159.056,2
159.672,2
159.734,2
159.954,2
160.289,2
160.602,2
160.796,2
161.169,2
161.462,2
161.567,2
161.651,2
161.932,2
163.824,0
164.148,0
164.305,1
164.503,2
164.548,2
164.727,2
164.875,2
170.978,0
173.274,0
174.694,0
175.753,0
175.897,1
176.037,2
176.159,2
177.214,0
177.437,1
177.577,2
177.716,2
177.873,2
177.945,2
178.185,2
178.439,2
178.756,2
178.926,2
178.983,2
179.138,2
179.414,2
210.78,0
210.897,1
211.051,2
211.667,2
211.801,2
211.967,2
212.069,2
212.48,2
212.608,2
212.77,2
213.353,0
213.599,1
213.849,2
214.066,2
215.047,0
215.45,1
215.74,2
215.93,2
216.143,2
216.249,2
216.675,0
216.829,1
216.992,2
217.242,2
217.459,2
217.728,2
217.838,2
218.01,2
219.345,0
219.55,1
219.634,2
219.725,2
220.178,0
220.327,1
220.382,2
221.017,2
221.131,2
221.279,2
224.4447,0
224.552,1
224.969,2
225.712,0
225.976,1
226.121,2
226.481,2
226.603,2
226.741,2
227.225,2
227.342,2
227.484,2
227.601,2
227.791,2
227.868,2
229.282,0
229.587,1
229.775,2
230.032,2
230.215,2
230.258,2
230.418,2
230.625,2
230.744,2
231.348,0
231.477,1
231.557,2
232.251,2
232.308,2
232.379,2
232.518,2
232.666,2
232.981,2
233.322,2
233.9,0
234.035,1
234.151,2
234.321,2
234.729,2
234.888,2
234.998,2
235.442,2
235.785,2
236.025,2
236.236,2
237.053,0
237.752,1
237.972,2
238.038,2
238.553,0
238.733,1
238.873,2
239.018,2
239.183,2
239.32,2
270.208,0
270.41,1
270.574,2
270.736,2
270.944,2
271.202,2
271.326,2
271.602,2
271.67,2
272.055,2
272.121,2
272.398,2
272.523,2
273.766,0
273.94,1
274.159,2
274.45,2
274.897,0
275.0,1
275.365,2
275.677,2
276.764,0
276.935,1
277.076,2
277.349,2
277.533,2
277.574,2
278.646,0
279.178,1
279.466,2
279.556,2
279.717,2
279.934,2
280.214,2
280.366,2
280.64,2
281.001,2
281.206,2
281.687,2
281.898,0
282.575,1
282.893,0
283.193,1
283.402,2
283.596,2
284.126,0
284.276,1
284.447,2
284.568,2
284.851,2
284.999,2
285.099,2
285.573,0
285.803,1
286.257,2
286.492,2
287.016,2
287.315,2
288.028,0
288.283,1
288.438,2
288.703,2
288.94,2
289.173,2
289.326,2
289.525,2
289.733,2
290.018,2
290.288,0
290.559,1
290.99,2
291.281,2
291.403,2
292.169,0
292.721,1
293.053,2
293.951,2
294.605,2
294.98,2
295.106,2
296.011,2
296.494,0
296.698,1
297.189,2
331.598,0
331.728,1
331.835,2
332.129,2
332.307,2
332.427,2
332.629,2
332.734,2
332.816,2
333.03,2
333.184,2
333.326,2
333.428,2
333.712,2
333.924,2
334.059,2
334.181,2
334.424,2
334.675,2
334.815,2
342.145,0
343.04,1
344.378,2
344.703,2
345.584,0
345.744,1
345.882,2
349.13,0
349.242,1
349.641,2
349.998,2
350.195,2
351.258,2
351.428,2
353.222,0
353.569,1
353.773,2
353.818,2
354.011,2
354.082,2
354.516,0
354.629,1
354.862,2
354.894,2
354.976,2
355.236,2
355.874,0
356.046,1
356.335,2
356.476,2
356.67,2
356.895,2
357.19,2
357.479,2
357.659,2
357.697,2
