start_time_s,label
30.736,1
31.59,0
31.704,0
31.818,0
31.966,1
32.93,1
33.248,0
33.304,0
33.448,0
33.574,1
33.943,1
34.939,1
35.479,0
36.601,0
36.711,0
36.863,0
36.911,1
37.226,1
37.516,1
38.916,1
39.302,1
39.773,1
40.865,1
41.14,0
41.246,1
42.084,1
42.38,0
42.587,1
44.003,1
44.924,1
47.682,0
48.172,1
48.531,1
48.935,0
49.213,0
49.449,1
49.781,0
49.93,1
50.671,1
51.376,0
51.525,1
51.886,0
52.038,0
52.142,1
52.831,0
53.739,1
54.574,0
54.84,0
54.993,0
55.053,1
56.341,0
56.488,0
56.633,0
56.724,1
57.143,1
57.957,0
58.233,1
58.932,0
59.432,0
59.47,0
59.611,1
90.943,0
91.326,0
91.428,0
91.476,1
91.796,0
91.942,1
92.825,0
92.945,1
93.418,0
93.741,0
93.872,1
95.374,1
100.823,0
101.121,0
101.241,1
101.644,0
101.748,1
103.718,0
104.035,0
104.153,1
104.43,0
104.566,1
106.955,0
107.634,0
107.783,0
107.927,0
108.007,1
110.029,1
110.624,1
111.105,0
111.192,1
111.92,1
113.34,0
113.444,0
113.511,1
113.993,0
114.089,1
114.776,1
116.08,0
116.153,1
150.359,1
151.901,1
152.2,0
152.344,0
152.84,1
153.409,0
153.67,0
153.78,1
154.13,0
154.265,0
154.322,1
155.385,0
155.656,0
155.749,1
156.071,1
156.384,1
156.709,1
157.603,1
158.196,0
158.736,0
159.056,1
159.672,0
159.954,1
160.289,1
160.796,1
161.169,1
161.462,0
161.567,0
161.651,1
164.503,0
164.727,0
164.875,1
170.978,1
173.274,1
174.694,1
175.753,0
175.897,0
176.037,0
176.159,1
177.437,0
177.577,0
177.873,0
178.439,1
178.926,0
179.138,1
179.414,1
210.78,0
210.897,0
211.051,1
211.667,0
211.967,0
212.069,1
212.48,0
212.77,1
214.066,1
215.047,1
215.45,1
216.143,0
216.249,1
216.675,0
217.728,0
218.01,1
219.55,0
219.634,0
220.178,0
220.327,0
220.382,1
221.017,0
221.131,0
224.4447,0
224.969,1
225.976,0
226.121,1
226.481,0
226.603,0
226.741,1
227.225,0
227.342,0
227.484,0
227.791,0
227.868,1
230.215,0
230.625,0
231.348,0
231.477,0
231.557,1
232.251,0
232.308,0
232.379,0
232.518,0
232.666,1
232.981,1
233.9,0
234.035,0
234.321,1
234.888,0
234.998,1
235.442,1
236.236,1
237.053,1
237.972,0
238.038,1
238.733,0
238.873,0
239.183,0
239.32,1
271.202,0
271.326,1
271.602,0
271.67,1
272.055,0
272.121,1
272.398,0
272.523,1
274.159,1
274.45,1
274.897,0
275.0,1
275.365,1
275.677,1
276.935,0
277.533,0
277.574,1
278.646,1
279.178,1
279.466,0
279.934,1
280.214,0
280.64,1
281.206,1
281.687,0
281.898,1
282.575,1
282.893,1
283.596,1
284.126,0
284.447,0
284.568,1
284.851,0
284.999,0
285.099,1
285.803,1
286.257,0
286.492,1
287.315,1
288.703,0
289.173,0
289.733,1
290.559,1
291.281,0
291.403,1
292.169,1
292.721,1
293.053,1
293.951,1
294.605,1
294.98,0
295.106,1
296.011,1
296.698,0
297.189,1
331.598,0
331.728,0
332.307,0
332.629,0
332.734,0
333.03,0
333.184,0
333.326,0
333.428,1
333.924,0
334.059,0
334.675,0
342.145,1
343.04,1
344.378,1
344.703,1
345.744,0
345.882,1
349.13,0
349.242,1
349.641,1
350.195,1
351.428,1
353.222,1
353.773,0
354.011,0
354.082,1
354.516,0
354.862,0
354.894,0
355.236,1
356.046,1
356.335,0
356.895,1
357.19,1
357.659,0
357.697,1
