start_time_s,label
30.736,2
31.59,0
31.704,0
31.818,0
31.966,2
32.93,2
33.248,0
33.304,0
33.448,0
33.574,2
33.943,2
34.939,2
35.233,1
35.479,0
35.62,1
36.601,0
36.711,0
36.863,0
36.911,2
37.226,2
37.516,2
38.072,1
38.275,1
38.47,1
38.684,1
38.916,2
39.302,2
39.773,2
40.865,2
41.14,0
41.246,2
42.084,2
42.38,0
42.587,2
44.003,2
44.679,1
44.924,2
47.279,1
47.524,1
47.682,0
47.72,1
47.905,1
48.172,2
48.531,2
48.935,0
49.046,1
49.213,0
49.283,1
49.449,2
49.781,0
49.93,2
50.671,2
50.957,1
51.152,1
51.376,0
51.525,2
51.886,0
52.038,0
52.142,2
52.616,1
52.831,0
53.58,1
53.739,2
54.387,1
54.574,0
54.629,1
54.84,0
54.993,0
55.053,2
55.689,1
56.341,0
56.488,0
56.633,0
56.724,2
57.143,2
57.488,1
57.752,1
57.957,0
58.007,1
58.233,2
58.932,0
59.039,1
59.199,1
59.432,0
59.47,0
59.611,2
90.943,0
91.052,1
91.326,0
91.428,0
91.476,2
91.796,0
91.942,2
92.825,0
92.945,2
93.263,1
93.418,0
93.555,1
93.741,0
93.872,2
94.423,1
94.691,1
94.846,1
95.104,1
95.374,2
100.823,0
100.903,1
101.121,0
101.241,2
101.644,0
101.748,2
103.718,0
103.826,1
104.035,0
104.153,2
104.43,0
104.566,2
106.955,0
107.045,1
107.288,1
107.634,0
107.783,0
107.927,0
108.007,2
109.605,1
109.858,1
110.029,2
110.41,1
110.624,2
111.105,0
111.192,2
111.484,1
111.715,1
111.92,2
113.34,0
113.444,0
113.511,2
113.993,0
114.089,2
114.553,1
114.776,2
115.8377,1
116.08,0
116.153,2
150.359,2
151.631,1
151.901,2
152.2,0
152.344,0
152.429,1
152.624,1
152.84,2
153.409,0
153.479,1
153.67,0
153.78,2
154.13,0
154.265,0
154.322,2
155.133,1
155.385,0
155.44,1
155.656,0
155.749,2
156.071,2
156.384,2
156.709,2
157.603,2
158.196,0
158.301,1
158.566,1
158.736,0
158.821,1
159.056,2
159.672,0
159.734,1
159.954,2
160.289,2
160.602,1
160.796,2
161.169,2
161.462,0
161.567,0
161.651,2
161.932,1
163.824,1
164.148,1
164.305,1
164.503,0
164.548,1
164.727,0
164.875,2
170.978,2
173.274,2
174.694,2
175.753,0
175.897,0
176.037,0
176.159,2
177.214,1
177.437,0
177.577,0
177.716,1
177.873,0
177.945,1
178.185,1
178.439,2
178.756,1
178.926,0
178.983,1
179.138,2
179.414,2
210.78,0
210.897,0
211.051,2
211.667,0
211.801,1
211.967,0
212.069,2
212.48,0
212.608,1
212.77,2
213.353,1
213.599,1
213.849,1
214.066,2
215.047,2
215.45,2
215.74,1
215.93,1
216.143,0
216.249,2
216.675,0
216.829,1
216.992,1
217.242,1
217.459,1
217.728,0
217.838,1
218.01,2
219.345,1
219.55,0
219.634,0
219.725,1
220.178,0
220.327,0
220.382,2
221.017,0
221.131,0
221.279,1
224.4447,0
224.552,1
224.969,2
225.712,1
225.976,0
226.121,2
226.481,0
226.603,0
226.741,2
227.225,0
227.342,0
227.484,0
227.601,1
227.791,0
227.868,2
229.282,1
229.587,1
229.775,1
230.032,1
230.215,0
230.258,1
230.418,1
230.625,0
230.744,1
231.348,0
231.477,0
231.557,2
232.251,0
232.308,0
232.379,0
232.518,0
232.666,2
232.981,2
233.322,1
233.9,0
234.035,0
234.151,1
234.321,2
234.729,1
234.888,0
234.998,2
235.442,2
235.785,1
236.025,1
236.236,2
237.053,2
237.752,1
237.972,0
238.038,2
238.553,1
238.733,0
238.873,0
239.018,1
239.183,0
239.32,2
270.208,1
270.41,1
270.574,1
270.736,1
270.944,1
271.202,0
271.326,2
271.602,0
271.67,2
272.055,0
272.121,2
272.398,0
272.523,2
273.766,1
273.94,1
274.159,2
274.45,2
274.897,0
275.0,2
275.365,2
275.677,2
276.764,1
276.935,0
277.076,1
277.349,1
277.533,0
277.574,2
278.646,2
279.178,2
279.466,0
279.556,1
279.717,1
279.934,2
280.214,0
280.366,1
280.64,2
281.001,1
281.206,2
281.687,0
281.898,2
282.575,2
282.893,2
283.193,1
283.402,1
283.596,2
284.126,0
284.276,1
284.447,0
284.568,2
284.851,0
284.999,0
285.099,2
285.573,1
285.803,2
286.257,0
286.492,2
287.016,1
287.315,2
288.028,1
288.283,1
288.438,1
288.703,0
288.94,1
289.173,0
289.326,1
289.525,1
289.733,2
290.018,1
290.288,1
290.559,2
290.99,1
291.281,0
291.403,2
292.169,2
292.721,2
293.053,2
293.951,2
294.605,2
294.98,0
295.106,2
296.011,2
296.494,1
296.698,0
297.189,2
331.598,0
331.728,0
331.835,1
332.129,1
332.307,0
332.427,1
332.629,0
332.734,0
332.816,1
333.03,0
333.184,0
333.326,0
333.428,2
333.712,1
333.924,0
334.059,0
334.181,1
334.424,1
334.675,0
334.815,1
342.145,2
343.04,2
344.378,2
344.703,2
345.584,1
345.744,0
345.882,2
349.13,0
349.242,2
349.641,2
349.998,1
350.195,2
351.258,1
351.428,2
353.222,2
353.569,1
353.773,0
353.818,1
354.011,0
354.082,2
354.516,0
354.629,1
354.862,0
354.894,0
354.976,1
355.236,2
355.874,1
356.046,2
356.335,0
356.476,1
356.67,1
356.895,2
357.19,2
357.479,1
357.659,0
357.697,2
