start_time_s,label
31.59,1
31.966,1
33.943,1
35.479,0
35.62,0
36.711,1
37.226,1
39.773,1
42.084,1
42.587,0
44.924,0
49.93,1
50.671,1
51.525,0
52.831,1
54.387,1
55.053,1
57.143,0
58.007,0
58.233,1
59.199,1
59.611,1
91.052,1
91.796,1
91.942,1
92.945,0
93.555,0
93.872,1
94.691,1
95.374,0
101.644,1
101.748,1
104.566,1
107.045,1
108.007,0
110.029,0
110.41,1
111.92,0
113.511,0
114.089,0
116.153,1
151.901,0
152.84,1
153.78,1
154.322,1
155.133,1
156.709,1
158.301,1
159.734,1
159.954,0
161.169,1
161.932,1
163.824,1
164.875,1
175.753,1
176.159,0
178.439,0
210.897,1
214.066,0
215.45,1
216.829,0
216.992,1
218.01,1
220.382,0
226.121,0
227.868,1
230.032,1
231.557,0
232.666,0
232.981,0
233.322,1
234.998,0
236.236,1
237.053,0
238.038,1
239.32,0
270.574,1
270.944,0
271.326,0
271.67,1
272.121,0
274.159,0
276.935,1
277.076,1
277.574,1
278.646,0
279.178,0
279.934,0
280.64,0
281.001,1
281.206,1
281.898,0
282.575,0
282.893,0
283.193,1
284.568,1
285.099,1
285.803,0
288.028,0
288.438,0
289.525,0
289.733,1
290.018,1
290.559,1
292.169,0
292.721,0
293.053,0
293.951,1
294.605,1
295.106,0
296.494,1
297.189,1
331.835,0
332.427,1
344.378,1
349.242,0
349.641,0
351.428,0
353.569,1
354.082,1
354.629,1
355.236,1
356.67,1
356.895,1
357.19,1
357.697,0
