start_time_s,label
31.59,1
31.704,2
31.818,5
31.966,1
33.248,2
33.448,5
33.574,5
33.943,1
34.939,4
35.479,0
35.62,0
36.601,2
36.711,1
36.863,2
36.911,5
37.226,1
38.072,2
38.47,2
38.684,2
38.916,4
39.302,4
39.773,1
42.084,1
42.38,3
42.587,0
44.003,2
44.679,3
44.924,0
47.279,5
47.524,5
47.682,2
47.72,5
47.905,4
48.172,5
48.935,2
49.213,2
49.283,5
49.449,5
49.781,5
49.93,1
50.671,1
50.957,5
51.525,0
51.886,2
52.038,2
52.142,5
52.831,1
53.58,2
53.739,4
54.387,1
54.574,2
54.629,4
54.84,5
55.053,1
56.341,2
56.633,3
56.724,4
57.143,0
57.488,5
57.957,3
58.007,0
58.233,1
58.932,5
59.039,5
59.199,1
59.432,2
59.47,2
59.611,1
90.943,2
91.052,1
91.428,2
91.476,4
91.796,1
91.942,1
92.825,3
92.945,0
93.418,3
93.555,0
93.741,2
93.872,1
94.691,1
94.846,5
95.104,4
95.374,0
100.823,5
101.121,2
101.241,5
101.644,1
101.748,1
103.718,2
104.035,5
104.153,5
104.43,2
104.566,1
106.955,2
107.045,1
107.288,5
107.634,2
107.927,3
108.007,0
109.858,3
110.029,0
110.41,1
110.624,5
111.105,3
111.192,5
111.484,5
111.715,4
111.92,0
113.444,3
113.511,0
114.089,0
114.776,4
116.08,2
116.153,1
151.901,0
152.344,2
152.429,5
152.624,5
152.84,1
153.409,2
153.67,5
153.78,1
154.265,2
154.322,1
155.133,1
155.385,2
155.656,2
156.071,5
156.709,1
158.196,2
158.301,1
158.566,5
159.734,1
159.954,0
160.602,2
160.796,4
161.169,1
161.567,2
161.651,5
161.932,1
163.824,1
164.148,5
164.503,2
164.548,5
164.727,5
164.875,1
175.753,1
176.037,3
176.159,0
177.873,3
177.945,5
178.185,4
178.439,0
178.926,2
178.983,2
179.138,5
210.78,2
210.897,1
211.801,2
213.599,5
213.849,4
214.066,0
215.45,1
215.74,5
215.93,4
216.143,5
216.675,2
216.829,0
216.992,1
217.242,5
217.459,5
217.838,2
218.01,1
219.345,5
219.634,2
219.725,4
220.327,3
220.382,0
221.279,2
224.552,3
225.976,3
226.121,0
226.603,2
226.741,4
227.225,5
227.484,2
227.601,2
227.868,1
229.775,2
230.032,1
230.215,2
230.258,5
230.418,4
231.348,2
231.557,0
232.308,2
232.518,3
232.666,0
232.981,0
233.322,1
234.035,2
234.321,4
234.888,3
234.998,0
235.442,2
235.785,5
236.025,2
236.236,1
237.053,0
237.972,2
238.038,1
238.553,2
238.873,2
239.183,3
239.32,0
270.41,2
270.574,1
270.944,0
271.326,0
271.67,1
272.055,3
272.121,0
272.523,3
273.766,2
274.159,0
275.365,5
275.677,4
276.764,2
276.935,1
277.076,1
277.349,2
277.533,2
277.574,1
278.646,0
279.178,0
279.556,5
279.717,3
279.934,0
280.214,5
280.366,4
280.64,0
281.001,1
281.206,1
281.898,0
282.575,0
282.893,0
283.193,1
283.402,2
283.596,2
284.126,2
284.447,2
284.568,1
284.851,2
284.999,2
285.099,1
285.573,2
285.803,0
288.028,0
288.283,3
288.438,0
288.703,2
288.94,5
289.326,2
289.525,0
289.733,1
290.018,1
290.288,2
290.559,1
290.99,5
291.281,5
291.403,4
292.169,0
292.721,0
293.053,0
293.951,1
294.605,1
295.106,0
296.011,2
296.494,1
296.698,2
297.189,1
331.728,2
331.835,0
332.129,4
332.427,1
332.629,2
332.734,5
332.816,4
333.326,2
333.428,5
333.712,4
334.181,5
334.675,2
334.815,4
344.378,1
344.703,5
345.584,2
345.882,5
349.13,3
349.242,0
349.641,0
350.195,4
351.428,0
353.569,1
353.773,2
353.818,5
354.082,1
354.516,5
354.629,1
354.862,2
354.894,5
355.236,1
355.874,5
356.335,2
356.476,2
356.67,1
356.895,1
357.19,1
357.659,3
357.697,0
