start_time_s,label
0.758,1
0.934,1
1.102,1
1.318,0
2.734,1
5.03,1
5.137,1
5.352,0
5.607,0
5.815,0
6.61,1
6.783,1
7.157,0
9.251,1
10.541,1
12.041,0
12.541,1
14.541,0
15.041,1
15.541,0
16.041,1
16.541,0
17.541,1
18.041,0
18.541,0
19.041,1
20.011,1
20.407,0
21.275,1
22.294,1
22.409,1
22.595,1
23.462,0
24.338,1
25.179,1
25.776,1
25.917,1
26.23,0
27.473,1
27.626,1
27.953,0
28.174,0
29.177,1
29.289,1
29.462,1
29.775,0
30.16,1
30.676,0
30.741,0
31.301,1
31.88,0
32.336,1
35.335,1
36.14,0
37.751,1
37.941,1
38.259,0
39.04,1
39.186,0
39.317,1
39.52,1
40.262,0
40.816,0
40.948,0
41.181,0
41.376,0
41.565,0
42.195,1
42.314,1
42.431,1
42.634,0
42.766,0
42.914,0
43.807,1
44.072,1
44.328,0
44.465,0
44.587,0
45.82,1
48.216,1
48.388,1
48.543,1
49.497,1
49.843,0
50.099,0
51.097,1
51.5,1
51.624,1
51.681,1
51.798,0
52.055,0
52.396,0
53.033,1
53.174,1
53.41,1
53.745,0
54.011,0
54.19,0
54.387,1
54.614,1
55.019,0
55.359,1
55.603,0
56.087,0
57.351,1
57.995,1
58.625,1
58.738,1
58.862,1
59.333,0
59.632,0
60.078,1
60.198,1
60.281,1
60.405,1
60.818,1
61.161,1
61.314,1
61.571,0
61.843,0
62.139,0
62.262,0
62.382,0
63.286,1
63.412,1
63.523,1
64.184,0
64.302,0
65.654,1
65.847,1
66.58,1
67.08,0
78.08,0
81.58,1
82.58,0
90.08,1
90.58,0
92.08,1
92.58,0
93.08,1
93.58,0
94.58,1
95.08,1
95.58,0
96.08,1
96.58,0
100.08,0
106.08,1
106.58,0
107.08,0
108.58,1
109.08,0
109.58,0
110.58,0
112.58,1
113.08,0
113.58,0
116.58,1
117.08,0
118.08,0
119.58,0
120.08,0
120.58,1
121.58,0
126.58,1
127.08,0
129.08,1
129.58,0
131.07999999999998,0
131.57999999999998,1
132.07999999999998,0
133.57999999999998,0
134.07999999999998,0
136.57999999999998,0
138.07999999999998,0
141.57999999999998,0
142.57999999999998,1
143.07999999999998,0
144.07999999999998,0
144.57999999999998,1
145.57999999999998,0
146.07999999999998,1
146.57999999999998,0
147.07999999999998,0
147.57999999999998,0
150.07999999999998,1
150.57999999999998,0
151.07999999999998,0
154.07999999999998,1
154.57999999999998,0
155.07999999999998,0
155.57999999999998,0
156.07999999999998,0
156.57999999999998,1
157.07999999999998,0
157.57999999999998,0
158.57999999999998,0
159.07999999999998,0
160.07999999999998,0
160.57999999999998,0
161.07999999999998,1
161.57999999999998,0
162.07999999999998,0
162.57999999999998,0
165.07999999999998,1
165.57999999999998,0
167.57999999999998,0
169.57999999999998,0
170.07999999999998,1
170.57999999999998,1
171.07999999999998,0
171.57999999999998,0
172.07999999999998,1
173.07999999999998,1
173.57999999999998,0
174.57999999999998,0
175.07999999999998,0
177.07999999999998,1
177.57999999999998,0
178.07999999999998,1
178.57999999999998,0
179.07999999999998,0
179.57999999999998,0
181.58,1
182.08,0
183.08,0
184.58,1
185.47,1
185.649,0
185.765,0
186.018,1
186.161,1
186.283,1
186.388,1
186.564,0
186.701,0
186.848,0
187.157,0
187.296,0
187.417,0
188.502,1
188.624,1
188.846,0
188.935,0
189.023,0
189.09,0
189.17,0
189.392,1
189.673,1
189.882,0
190.115,0
190.615,1
190.762,1
191.646,1
191.945,1
192.191,0
192.583,1
192.889,0
193.266,0
194.505,1
194.648,1
194.971,0
195.057,0
195.445,0
196.255,1
196.404,1
196.927,0
197.02,1
197.188,1
197.638,0
197.791,0
197.868,0
198.04,0
198.143,0
198.242,0
199.326,1
199.476,1
199.699,1
199.822,1
199.923,1
200.463,0
200.739,0
200.947,0
201.108,0
201.346,0
201.48,0
202.099,1
202.164,1
202.426,0
202.64,0
203.054,1
203.311,0
204.004,1
205.191,1
205.373,1
205.631,1
206.011,0
206.21,0
206.36,0
206.78,0
207.382,1
207.505,1
207.724,1
207.928,0
208.138,0
208.294,0
208.667,1
208.861,1
