start_time_s,label
0.758,2
0.934,2
1.102,2
1.318,0
2.734,2
5.03,2
5.137,2
5.352,0
5.607,0
5.815,0
6.61,2
6.783,2
7.157,0
9.251,2
10.041,1
10.541,2
11.041,1
11.541,1
12.041,0
12.541,2
13.041,1
13.541,1
14.041,1
14.541,0
15.041,2
15.541,0
16.041,2
16.541,0
17.041,1
17.541,2
18.041,0
18.541,0
19.041,2
20.011,2
20.218,1
20.407,0
21.275,2
22.294,2
22.409,2
22.595,2
22.907,1
23.462,0
24.338,2
25.179,2
25.776,2
25.917,2
26.23,0
27.473,2
27.626,2
27.84,1
27.953,0
28.174,0
29.177,2
29.289,2
29.462,2
29.518,1
29.775,0
30.042,1
30.16,2
30.319,1
30.676,0
30.741,0
30.891,1
31.073,1
31.301,2
31.646,1
31.88,0
32.336,2
33.449,1
33.731,1
35.335,2
36.14,0
36.811,1
36.895,1
37.751,2
37.941,2
38.16,1
38.259,0
38.386,1
39.04,2
39.186,0
39.317,2
39.52,2
40.262,0
40.816,0
40.948,0
41.181,0
41.376,0
41.565,0
42.195,2
42.314,2
42.431,2
42.547,1
42.634,0
42.766,0
42.914,0
43.807,2
44.072,2
44.328,0
44.465,0
44.587,0
45.82,2
46.62,1
47.12,1
47.62,1
48.216,2
48.388,2
48.543,2
49.497,2
49.843,0
50.099,0
51.097,2
51.5,2
51.624,2
51.681,2
51.798,0
52.055,0
52.396,0
53.033,2
53.174,2
53.41,2
53.745,0
54.011,0
54.19,0
54.387,2
54.614,2
54.733,1
55.019,0
55.359,2
55.526,1
55.603,0
56.087,0
57.351,2
57.995,2
58.32,1
58.625,2
58.738,2
58.862,2
59.333,0
59.632,0
60.078,2
60.198,2
60.281,2
60.405,2
60.818,2
61.161,2
61.314,2
61.571,0
61.843,0
62.139,0
62.262,0
62.382,0
63.286,2
63.412,2
63.523,2
63.622,1
64.184,0
64.302,0
65.654,2
65.847,2
66.58,2
67.08,0
67.58,1
68.08,1
68.58,1
69.08,1
69.58,1
70.08,1
70.58,1
71.08,1
71.58,1
72.08,1
72.58,1
73.08,1
73.58,1
74.08,1
74.58,1
75.08,1
75.58,1
76.08,1
76.58,1
77.08,1
77.58,1
78.08,0
78.58,1
79.08,1
79.58,1
80.08,1
80.58,1
81.08,1
81.58,2
82.08,1
82.58,0
83.08,1
83.58,1
84.08,1
84.58,1
85.08,1
85.58,1
86.08,1
86.58,1
87.08,1
87.58,1
88.08,1
88.58,1
89.08,1
89.58,1
90.08,2
90.58,0
91.08,1
91.58,1
92.08,2
92.58,0
93.08,2
93.58,0
94.08,1
94.58,2
95.08,2
95.58,0
96.08,2
96.58,0
97.08,1
97.58,1
98.08,1
98.58,1
99.08,1
99.58,1
100.08,0
100.58,1
101.08,1
101.58,1
102.08,1
102.58,1
103.08,1
103.58,1
104.08,1
104.58,1
105.08,1
105.58,1
106.08,2
106.58,0
107.08,0
107.58,1
108.08,1
108.58,2
109.08,0
109.58,0
110.08,1
110.58,0
111.08,1
111.58,1
112.08,1
112.58,2
113.08,0
113.58,0
114.08,1
114.58,1
115.08,1
115.58,1
116.08,1
116.58,2
117.08,0
117.58,1
118.08,0
118.58,1
119.08,1
119.58,0
120.08,0
120.58,2
121.08,1
121.58,0
122.08,1
122.58,1
123.08,1
123.58,1
124.08,1
124.58,1
125.08,1
125.58,1
