start_time_s,label
0.758,0
0.934,0
1.102,0
1.318,0
2.734,0
5.03,2
5.137,2
5.352,2
5.607,2
5.815,2
6.61,2
6.783,2
7.157,2
9.251,2
10.041,2
10.541,2
11.041,2
11.541,2
12.041,2
12.541,2
13.041,2
13.541,2
14.041,2
14.541,2
15.041,1
15.541,1
16.041,1
16.541,1
17.041,0
17.541,0
18.041,0
18.541,0
19.041,1
20.011,1
20.218,1
20.407,1
21.275,1
22.294,2
22.409,2
22.595,2
22.907,2
23.462,2
24.338,2
25.179,2
25.776,0
25.917,1
26.23,1
27.473,2
27.626,2
27.84,2
27.953,2
28.174,2
29.177,2
29.289,2
29.462,2
29.518,2
29.775,2
30.042,2
30.16,2
30.319,2
30.676,2
30.741,2
30.891,2
31.073,2
31.301,2
31.646,2
31.88,2
32.336,2
33.449,2
33.731,2
35.335,2
36.14,2
36.811,2
36.895,2
37.751,2
37.941,2
38.16,2
38.259,2
38.386,2
39.04,2
39.186,2
39.317,2
39.52,2
40.262,2
40.816,2
40.948,2
41.181,2
41.376,2
41.565,2
42.195,2
42.314,2
42.431,2
42.547,2
42.634,2
42.766,2
42.914,2
43.807,2
44.072,2
44.328,2
44.465,2
44.587,2
45.82,2
46.62,0
47.12,1
47.62,1
48.216,1
48.388,1
48.543,1
49.497,2
49.843,2
50.099,2
51.097,2
51.5,2
51.624,2
51.681,2
51.798,2
52.055,2
52.396,2
53.033,2
53.174,2
53.41,2
53.745,2
54.011,2
54.19,2
54.387,2
54.614,2
54.733,2
55.019,2
55.359,2
55.526,2
55.603,2
56.087,2
57.351,2
57.995,2
58.32,2
58.625,2
58.738,2
58.862,2
59.333,2
59.632,2
60.078,2
60.198,2
60.281,2
60.405,2
60.818,2
61.161,2
61.314,2
61.571,2
61.843,2
62.139,2
62.262,2
62.382,2
63.286,2
63.412,2
63.523,2
63.622,2
64.184,2
64.302,2
65.654,2
65.847,2
66.58,0
67.08,1
67.58,1
68.08,1
68.58,1
69.08,1
69.58,1
70.08,1
70.58,1
71.08,1
71.58,1
72.08,1
72.58,1
73.08,1
73.58,1
74.08,1
74.58,1
75.08,1
75.58,1
76.08,1
76.58,1
77.08,1
77.58,1
78.08,1
78.58,1
79.08,1
79.58,1
80.08,1
80.58,1
81.08,1
81.58,1
82.08,1
82.58,1
83.08,1
83.58,1
84.08,1
84.58,1
85.08,1
85.58,1
86.08,1
86.58,1
87.08,1
87.58,1
88.08,1
88.58,1
89.08,1
89.58,1
90.08,1
90.58,0
91.08,0
91.58,0
92.08,0
92.58,0
93.08,1
93.58,1
94.08,1
94.58,1
95.08,0
95.58,0
96.08,0
96.58,0
97.08,0
97.58,0
