start_time_s,label
0.758,1
0.934,1
1.102,1
1.318,1
2.734,1
5.03,0
5.137,0
5.352,0
5.607,1
5.815,1
6.61,0
6.783,0
7.157,0
9.251,1
10.041,2
10.541,2
11.041,1
11.541,0
12.041,0
12.541,0
13.041,1
13.541,1
14.041,0
14.541,2
15.041,1
15.541,1
16.041,1
16.541,2
17.041,1
17.541,1
18.041,1
18.541,1
19.041,2
20.011,1
20.218,1
20.407,1
21.275,2
22.294,1
22.409,1
22.595,1
22.907,1
23.462,1
24.338,1
25.179,1
25.776,2
25.917,2
26.23,2
27.473,1
27.626,1
27.84,1
27.953,0
28.174,0
29.177,1
29.289,1
29.462,1
29.518,1
29.775,1
30.042,1
30.16,1
30.319,1
30.676,0
30.741,0
30.891,0
31.073,0
31.301,0
31.646,0
31.88,0
32.336,0
33.449,0
33.731,0
35.335,0
36.14,0
36.811,0
36.895,0
37.751,1
37.941,1
38.16,1
38.259,1
38.386,1
39.04,1
39.186,1
39.317,0
39.52,0
40.262,0
40.816,0
40.948,0
41.181,0
41.376,0
41.565,1
42.195,2
42.314,2
42.431,1
42.547,0
42.634,0
42.766,0
42.914,0
43.807,0
44.072,0
44.328,0
44.465,0
44.587,0
45.82,1
46.62,0
47.12,1
47.62,2
48.216,2
48.388,2
48.543,2
49.497,2
49.843,2
50.099,1
51.097,0
51.5,0
51.624,0
51.681,0
51.798,0
52.055,0
52.396,1
53.033,0
53.174,0
53.41,0
53.745,0
54.011,0
54.19,0
54.387,0
54.614,0
54.733,0
55.019,0
55.359,0
55.526,0
55.603,0
56.087,0
57.351,0
57.995,0
58.32,0
58.625,0
58.738,0
58.862,0
59.333,0
59.632,0
60.078,0
60.198,0
60.281,0
60.405,0
60.818,0
61.161,0
61.314,0
61.571,0
61.843,0
62.139,0
62.262,0
62.382,0
63.286,0
63.412,0
63.523,0
63.622,0
64.184,0
64.302,0
65.654,0
65.847,1
66.58,2
67.08,0
67.58,0
68.08,1
68.58,1
69.08,1
69.58,1
70.08,0
70.58,1
71.08,1
71.58,1
72.08,1
72.58,1
73.08,2
73.58,2
74.08,2
74.58,2
75.08,2
75.58,2
76.08,2
76.58,1
77.08,1
77.58,0
78.08,0
78.58,0
79.08,0
79.58,0
80.08,0
80.58,0
81.08,1
81.58,1
82.08,0
82.58,0
83.08,0
83.58,1
84.08,2
84.58,2
85.08,2
85.58,2
86.08,2
86.58,2
87.08,1
87.58,1
88.08,2
88.58,1
89.08,0
89.58,0
90.08,2
90.58,0
91.08,0
91.58,0
92.08,0
92.58,2
93.08,0
93.58,0
94.08,0
94.58,2
95.08,0
95.58,1
96.08,1
96.58,1
97.08,1
97.58,2
98.08,2
98.58,1
99.08,1
99.58,2
100.08,2
100.58,2
101.08,1
101.58,1
102.08,1
102.58,1
103.08,0
103.58,2
104.08,2
104.58,1
105.08,1
105.58,1
106.08,2
106.58,1
107.08,1
107.58,2
108.08,2
108.58,1
109.08,1
109.58,1
110.08,1
110.58,1
111.08,0
111.58,1
112.08,1
112.58,1
113.08,1
113.58,2
114.08,1
114.58,2
115.08,1
115.58,1
116.08,1
116.58,1
117.08,0
117.58,2
118.08,2
118.58,2
119.08,2
119.58,2
120.08,0
120.58,0
121.08,0
121.58,2
122.08,2
122.58,2
123.08,1
123.58,0
124.08,0
124.58,2
125.08,2
125.58,1
126.08,2
126.58,1
127.08,1
127.58,1
128.08,0
128.58,0
129.08,2
129.58,1
130.08,1
130.58,1
131.07999999999998,1
131.57999999999998,0
132.07999999999998,1
132.57999999999998,2
133.07999999999998,1
133.57999999999998,1
134.07999999999998,1
134.57999999999998,1
135.07999999999998,1
135.57999999999998,1
136.07999999999998,2
136.57999999999998,2
137.07999999999998,1
137.57999999999998,1
138.07999999999998,0
138.57999999999998,2
139.07999999999998,2
139.57999999999998,2
140.07999999999998,2
140.57999999999998,2
141.07999999999998,1
141.57999999999998,2
142.07999999999998,1
142.57999999999998,2
143.07999999999998,2
143.57999999999998,0
144.07999999999998,0
144.57999999999998,0
145.07999999999998,2
145.57999999999998,1
146.07999999999998,1
146.57999999999998,1
147.07999999999998,1
