start_time_s,label
0.758,1
0.934,0
1.102,0
1.318,0
2.734,1
5.03,1
5.137,0
5.815,0
6.61,1
7.157,1
9.251,1
20.011,1
20.218,0
20.407,1
21.275,1
22.294,1
22.409,0
23.462,1
24.338,1
25.179,1
25.776,1
25.917,0
26.23,1
27.473,1
28.174,1
29.177,1
29.462,0
29.518,0
30.042,0
30.676,0
30.741,0
30.891,0
31.073,0
31.301,1
31.88,0
32.336,1
33.449,1
35.335,1
36.14,1
36.811,1
37.751,1
38.16,0
38.259,0
39.04,0
39.186,0
39.317,1
40.816,0
40.948,1
41.181,0
41.376,1
41.565,1
42.195,1
42.547,0
42.766,0
43.807,1
44.328,0
44.465,0
45.82,1
48.216,1
48.388,0
48.543,0
49.497,1
49.843,1
50.099,1
51.097,1
51.5,1
51.798,0
52.055,0
52.396,1
53.033,1
53.41,1
53.745,1
54.011,0
54.19,1
54.733,1
55.019,1
55.526,0
56.087,1
57.351,1
57.995,1
58.32,1
58.625,0
58.738,0
59.333,0
60.078,1
60.281,0
60.405,1
61.314,1
61.571,1
61.843,1
62.139,0
62.262,0
63.286,1
63.412,0
63.523,0
63.622,1
65.654,1
65.847,1
185.6,0
185.649,0
185.765,0
186.161,0
186.283,0
186.388,1
186.701,0
186.848,0
187.296,0
187.417,1
188.752,0
188.846,0
188.935,0
189.09,0
189.392,0
189.882,0
190.115,0
190.615,0
190.914,0
191.025,0
191.302,1
191.646,0
191.945,0
192.583,1
192.889,1
193.266,1
194.505,1
194.971,0
195.057,1
196.255,1
196.927,0
197.02,0
197.791,0
197.868,0
198.04,0
198.143,0
198.242,0
199.326,1
199.699,0
200.463,0
200.739,0
200.947,0
201.108,0
201.346,0
202.426,0
202.64,1
203.054,0
204.004,1
205.191,1
205.373,0
205.631,0
205.768,0
206.36,1
207.928,0
208.667,1
208.861,0
209.082,1
209.744,0
209.981,0
210.734,1
214.741,1
214.895,0
215.038,0
215.489,1
216.839,1
218.88,1
219.546,0
220.069,1
220.836,0
221.608,1
221.854,0
222.03,0
222.238,0
222.716,1
227.328,1
227.459,1
227.989,1
228.462,0
228.706,0
229.231,1
229.62,0
229.797,0
230.062,0
230.422,0
230.523,0
230.958,1
231.466,0
231.694,1
232.056,1
233.141,0
233.907,1
234.95,1
235.585,1
236.37,0
237.155,0
237.798,1
238.779,1
238.927,0
239.205,0
239.464,1
239.678,1
240.256,0
240.348,0
241.469,1
242.372,1
243.358,1
243.776,0
244.5,1
244.792,0
244.904,0
245.028,0
245.529,0
245.608,0
245.712,0
245.796,0
245.898,0
246.376,0
246.939,1
247.909,1
248.171,0
248.296,0
248.408,1
250.159,1
251.178,1
251.358,1
251.623,0
251.864,0
252.264,1
252.665,0
252.756,0
272.108,1
273.217,1
273.9,1
274.82,1
274.89,0
274.958,1
275.321,1
275.893,1
276.141,1
316.553,0
317.203,1
318.417,1
318.629,0
319.548,1
320.371,0
320.523,1
321.84,1
322.225,1
322.729,0
323.327,1
323.511,0
323.691,0
323.785,1
324.863,1
325.147,0
326.277,1
326.701,0
326.85,0
330.726,1
331.1,0
331.505,0
331.678,0
332.199,1
332.282,1
332.699,0
332.992,0
333.28,0
333.401,0
334.041,1
334.459,1
359.582,1
365.203,1
365.402,1
366.14,0
366.407,1
367.16,1
367.348,0
367.727,1
372.266,0
372.526,0
372.639,0
372.877,0
373.182,0
374.884,1
375.695,0
375.873,0
375.976,1
376.454,1
376.728,0
377.471,1
377.705,0
378.007,1
378.308,1
378.524,0
379.217,1
379.322,0
382.34,1
382.447,0
383.425,1
383.612,0
383.7,1
384.032,0
384.622,1
385.166,1
385.423,0
385.55,1
386.324,1
387.714,1
387.994,1
388.172,0
388.288,1
388.54,0
388.649,0
390.554,1
391.033,0
391.199,0
391.417,0
392.024,1
393.001,1
393.72,1
393.949,1
394.793,1
395.628,1
395.923,0
396.038,0
397.312,1
397.532,0
397.807,0
398.139,0
399.54,1
402.013,1
402.159,0
402.89,1
403.207,1
403.613,0
404.776,1
405.315,1
405.465,0
405.825,1
406.235,0
406.522,0
406.711,0
407.189,0
407.332,0
408.31,1
408.94,1
410.366,1
411.4,0
411.62,0
411.847,0
412.021,0
412.14,0
412.24,1
413.702,1
413.825,0
414.006,0
414.21,1
414.687,1
438.17,1
438.949,1
440.065,1
441.036,1
441.311,0
441.589,0
443.146,1
443.322,0
443.622,0
443.832,0
444.435,1
444.625,0
444.94,0
446.226,1
446.39,0
446.564,0
447.914,1
448.305,0
449.0,0
449.108,1
450.539,1
451.933,1
455.961,1
460.389,1
461.491,1
461.567,0
462.48,1
462.7,0
463.091,1
463.557,1
466.769,1
467.181,1
