start_time_s,label
0.758,2
0.934,0
1.102,0
1.318,0
2.734,2
5.03,2
5.137,0
5.352,1
5.607,1
5.815,0
6.61,2
6.783,1
7.157,2
9.251,2
20.011,2
20.218,0
20.407,2
21.275,2
22.294,2
22.409,0
22.595,1
22.907,1
23.462,2
24.338,2
25.179,2
25.776,2
25.917,0
26.23,2
27.473,2
27.626,1
27.84,1
27.953,1
28.174,2
29.177,2
29.289,1
29.462,0
29.518,0
29.775,1
30.042,0
30.16,1
30.319,1
30.676,0
30.741,0
30.891,0
31.073,0
31.301,2
31.646,1
31.88,0
32.336,2
33.449,2
33.731,1
35.335,2
36.14,2
36.811,2
36.895,1
37.751,2
37.941,1
38.16,0
38.259,0
38.386,1
39.04,0
39.186,0
39.317,2
39.52,1
40.262,1
40.816,0
40.948,2
41.181,0
41.376,2
41.565,2
42.195,2
42.314,1
42.431,1
42.547,0
42.634,1
42.766,0
42.914,1
43.807,2
44.072,1
44.328,0
44.465,0
44.587,1
45.82,2
48.216,2
48.388,0
48.543,0
49.497,2
49.843,2
50.099,2
51.097,2
51.5,2
51.624,1
51.681,1
51.798,0
52.055,0
52.396,2
53.033,2
53.174,1
53.41,2
53.745,2
54.011,0
54.19,2
54.387,1
54.614,1
54.733,2
55.019,2
55.359,1
55.526,0
55.603,1
56.087,2
57.351,2
57.995,2
58.32,2
58.625,0
58.738,0
58.862,1
59.333,0
59.632,1
60.078,2
60.198,1
60.281,0
60.405,2
60.818,1
61.161,1
61.314,2
61.571,2
61.843,2
62.139,0
62.262,0
62.382,1
63.286,2
63.412,0
63.523,0
63.622,2
64.184,1
64.302,1
65.654,2
65.847,2
185.47,1
185.6,0
185.649,0
185.765,0
186.018,1
186.161,0
186.283,0
186.388,2
186.564,1
186.701,0
186.848,0
186.983,1
187.157,1
187.296,0
187.417,2
188.502,1
188.624,1
188.752,0
188.846,0
188.935,0
189.023,1
189.09,0
189.17,1
189.392,0
189.673,1
189.882,0
190.115,0
190.615,0
190.762,1
190.914,0
191.025,0
191.302,2
191.646,0
191.945,0
192.191,1
192.583,2
192.889,2
193.266,2
194.505,2
194.648,1
194.971,0
195.057,2
195.445,1
196.255,2
196.404,1
196.927,0
197.02,0
197.188,1
197.638,1
197.791,0
197.868,0
198.04,0
198.143,0
198.242,0
199.326,2
199.476,1
199.699,0
199.822,1
199.923,1
200.069,1
200.238,1
200.463,0
200.739,0
200.947,0
201.108,0
201.346,0
201.48,1
202.099,1
202.164,1
202.426,0
202.64,2
202.814,1
203.054,0
203.311,1
204.004,2
204.63,1
205.191,2
205.373,0
205.631,0
205.768,0
206.011,1
206.21,1
206.36,2
206.78,1
207.382,1
207.505,1
207.724,1
207.928,0
208.138,1
208.294,1
208.667,2
208.861,0
209.082,2
209.345,1
209.744,0
209.821,1
209.981,0
210.734,2
210.884,1
211.052,1
211.274,1
214.741,2
214.895,0
215.038,0
215.489,2
216.839,2
218.88,2
219.278,1
219.546,0
219.81,1
220.069,2
220.256,1
220.836,0
221.608,2
221.854,0
222.03,0
222.238,0
222.716,2
227.328,2
227.459,2
227.989,2
228.096,1
228.36,1
228.462,0
228.706,0
229.231,2
229.343,1
229.62,0
229.797,0
229.941,1
230.062,0
230.211,1
230.422,0
230.523,0
230.958,2
231.234,1
231.466,0
231.694,2
231.782,1
232.056,2
232.58,1
233.141,0
233.339,1
233.907,2
234.95,2
235.585,2
235.646,1
235.748,1
235.826,1
236.37,0
236.746,1
237.155,0
237.798,2
238.779,2
238.927,0
239.205,0
239.464,2
239.53,1
239.678,2
239.921,1
240.256,0
240.348,0
241.469,2
242.372,2
242.479,1
242.968,1
243.358,2
243.556,1
243.776,0
243.91,1
244.5,2
244.621,1
244.792,0
244.904,0
245.028,0
245.131,1
245.529,0
245.608,0
245.712,0
245.796,0
245.898,0
246.02,1
246.191,1
246.376,0
246.48,1
246.61,1
246.939,2
247.239,1
247.909,2
248.171,0
248.296,0
248.408,2
249.003,1
249.224,1
250.159,2
251.178,2
251.358,2
251.623,0
251.768,1
251.864,0
252.264,2
252.55,1
252.665,0
252.756,0
252.804,1
253.038,1
253.428,1
272.108,2
272.312,1
272.433,1
272.732,1
272.872,1
273.217,2
273.9,2
274.82,2
274.89,0
274.958,2
275.321,2
275.893,2
275.999,1
276.141,2
315.446,1
315.579,1
315.907,1
316.042,1
316.189,1
316.438,1
316.553,0
316.711,1
317.203,2
318.417,2
318.629,0
319.548,2
319.826,1
319.975,1
320.144,1
320.371,0
320.523,2
321.84,2
321.977,1
322.225,2
322.729,0
323.327,2
323.511,0
323.691,0
323.785,2
324.129,1
324.728,1
324.863,2
325.147,0
326.277,2
326.503,1
326.701,0
326.85,0
326.995,1
330.726,2
330.846,1
331.1,0
331.348,1
331.505,0
331.678,0
332.199,2
332.282,2
332.528,1
332.699,0
332.779,1
332.992,0
333.118,1
333.28,0
333.401,0
333.496,1
334.041,2
334.275,1
334.459,2
359.582,2
365.203,2
365.402,2
365.583,1
366.14,0
366.407,2
367.16,2
367.348,0
367.503,1
367.727,2
372.125,1
372.266,0
372.526,0
372.639,0
372.877,0
373.182,0
374.884,2
375.16,1
375.32,1
375.695,0
375.873,0
375.976,2
376.454,2
376.64,1
376.728,0
377.471,2
377.588,1
377.705,0
377.839,1
378.007,2
378.156,1
378.308,2
378.524,0
378.603,1
378.92,1
379.217,2
379.322,0
382.34,2
382.447,0
382.578,1
382.751,1
383.425,2
383.522,1
383.612,0
383.7,2
384.032,0
384.622,2
384.907,1
385.166,2
385.423,0
385.55,2
386.324,2
386.539,1
386.829,1
387.22,1
387.714,2
387.812,1
387.994,2
388.172,0
388.288,2
388.438,1
388.54,0
388.649,0
388.807,1
389.12,1
390.554,2
390.769,1
391.033,0
391.199,0
391.417,0
392.024,2
392.529,1
393.001,2
393.72,2
393.949,2
394.793,2
395.628,2
395.789,1
395.923,0
396.038,0
396.117,1
397.312,2
397.532,0
397.807,0
398.139,0
399.54,2
402.013,2
402.159,0
402.89,2
403.207,2
403.613,0
404.023,1
404.776,2
404.903,1
405.315,2
405.465,0
405.825,2
405.951,1
406.136,1
406.235,0
406.316,1
406.522,0
406.711,0
406.905,1
407.008,1
407.189,0
407.332,0
408.31,2
408.94,2
410.366,2
410.568,1
411.16,1
411.4,0
411.62,0
411.847,0
412.021,0
412.14,0
412.24,2
413.702,2
413.825,0
414.006,0
414.21,2
414.687,2
438.17,2
438.424,1
438.627,1
438.949,2
440.065,2
441.036,2
441.176,1
441.311,0
441.589,0
441.705,1
442.0,1
443.146,2
443.322,0
443.622,0
443.832,0
444.435,2
444.625,0
444.94,0
446.226,2
446.39,0
446.564,0
446.748,1
446.934,1
447.914,2
448.045,1
448.305,0
448.697,1
448.912,1
449.0,0
449.108,2
450.539,2
450.685,1
451.933,2
452.205,1
455.961,2
460.389,2
461.491,2
461.567,0
461.622,1
461.962,1
462.48,2
462.7,0
462.92,1
463.091,2
463.557,2
466.769,2
467.181,2
