start_time_s,label
0.758,0
0.934,0
1.102,0
1.318,1
2.734,1
5.03,0
5.137,0
5.352,0
5.607,0
5.815,0
6.61,0
6.783,0
7.157,0
9.251,1
10.041,1
10.541,2
11.041,1
11.541,0
12.041,1
12.541,0
13.041,1
13.541,0
14.041,0
14.541,2
15.041,1
15.541,1
16.041,2
16.541,2
17.041,0
17.541,0
18.041,0
18.541,0
19.041,2
20.011,1
20.218,1
20.407,2
21.275,2
22.294,1
22.409,0
22.595,0
22.907,1
23.462,1
24.338,0
25.179,0
25.776,1
25.917,1
26.23,1
27.473,1
27.626,1
27.84,1
27.953,0
28.174,0
29.177,1
29.289,1
29.462,1
29.518,1
29.775,1
30.042,1
30.16,1
30.319,1
30.676,1
30.741,1
30.891,1
31.073,0
31.301,0
31.646,0
31.88,1
32.336,0
33.449,1
33.731,1
35.335,0
36.14,0
36.811,0
36.895,0
37.751,2
37.941,1
38.16,1
38.259,1
38.386,1
39.04,2
39.186,2
39.317,0
39.52,0
40.262,0
40.816,0
40.948,0
41.181,0
41.376,0
41.565,2
42.195,2
42.314,2
42.431,2
42.547,1
42.634,1
42.766,1
42.914,0
43.807,0
44.072,0
44.328,0
44.465,0
44.587,0
45.82,2
46.62,2
47.12,2
47.62,2
48.216,2
48.388,2
48.543,2
49.497,1
49.843,1
50.099,1
51.097,0
51.5,0
51.624,0
51.681,0
51.798,0
52.055,0
52.396,0
53.033,0
53.174,0
53.41,1
53.745,1
54.011,0
54.19,0
54.387,0
54.614,0
54.733,0
55.019,0
55.359,0
55.526,0
55.603,0
56.087,0
57.351,0
57.995,0
58.32,0
58.625,0
58.738,0
58.862,0
59.333,0
59.632,1
60.078,1
60.198,0
60.281,0
60.405,0
60.818,0
61.161,0
61.314,1
61.571,1
61.843,0
62.139,0
62.262,0
62.382,0
63.286,0
63.412,0
63.523,0
63.622,0
64.184,0
64.302,0
65.654,0
65.847,2
66.58,2
67.08,1
67.58,1
68.08,2
68.58,1
69.08,1
69.58,0
70.08,2
70.58,1
71.08,1
71.58,0
72.08,1
72.58,2
73.08,2
73.58,2
74.08,2
74.58,2
75.08,2
75.58,2
76.08,1
76.58,1
77.08,0
77.58,0
78.08,0
78.58,1
79.08,0
79.58,0
80.08,0
80.58,1
81.08,2
81.58,2
82.08,0
82.58,0
83.08,1
83.58,1
84.08,1
84.58,2
85.08,2
85.58,2
86.08,2
86.58,2
87.08,1
87.58,1
88.08,1
88.58,2
89.08,0
89.58,1
90.08,2
90.58,0
91.08,0
91.58,0
92.08,0
92.58,2
93.08,0
93.58,0
94.08,0
94.58,2
95.08,0
95.58,0
96.08,1
96.58,1
97.08,0
97.58,1
