start_time_s,label
0.758,0
0.934,1
1.102,1
1.318,2
2.734,0
5.03,0
5.137,0
5.352,0
5.607,0
5.815,1
6.61,0
6.783,1
7.157,2
9.251,1
10.041,2
10.541,0
11.041,0
11.541,2
12.041,2
12.541,2
13.041,0
13.541,1
14.041,1
14.541,2
15.041,2
15.541,2
16.041,0
16.541,1
17.041,1
17.541,0
18.041,0
18.541,0
19.041,1
20.011,0
20.218,0
20.407,0
21.275,0
22.294,0
22.409,0
22.595,0
22.907,0
23.462,0
24.338,0
25.179,0
25.776,0
25.917,0
26.23,0
27.473,0
27.626,0
27.84,0
27.953,0
28.174,0
29.177,1
29.289,0
29.462,0
29.518,1
29.775,1
30.042,0
30.16,0
30.319,2
30.676,2
30.741,2
30.891,1
31.073,2
31.301,2
31.646,2
31.88,2
32.336,0
33.449,1
33.731,1
35.335,1
36.14,0
36.811,1
36.895,1
37.751,1
37.941,2
38.16,1
38.259,1
38.386,1
39.04,0
39.186,0
39.317,1
39.52,0
40.262,0
40.816,2
40.948,2
41.181,2
41.376,2
41.565,2
42.195,1
42.314,1
42.431,1
42.547,1
42.634,2
42.766,2
42.914,1
43.807,0
44.072,0
44.328,0
44.465,0
44.587,0
45.82,1
46.62,1
47.12,1
47.62,0
48.216,1
48.388,1
48.543,1
49.497,1
49.843,0
50.099,2
51.097,0
51.5,0
51.624,1
51.681,1
51.798,2
52.055,2
52.396,1
53.033,0
53.174,0
53.41,0
53.745,1
54.011,1
54.19,0
54.387,0
54.614,0
54.733,1
55.019,1
55.359,1
55.526,1
55.603,1
56.087,2
57.351,0
57.995,0
58.32,0
58.625,0
58.738,0
58.862,0
59.333,0
59.632,1
60.078,1
60.198,1
60.281,1
60.405,0
60.818,0
61.161,0
61.314,0
61.571,1
61.843,1
62.139,0
62.262,0
62.382,0
63.286,0
63.412,0
63.523,0
63.622,0
64.184,1
64.302,1
65.654,1
65.847,0
66.58,1
67.08,1
67.58,0
68.08,0
68.58,0
69.08,0
69.58,1
70.08,0
70.58,0
71.08,0
71.58,0
72.08,0
72.58,0
73.08,0
73.58,0
74.08,0
74.58,0
75.08,0
75.58,1
76.08,0
76.58,0
77.08,1
77.58,1
78.08,0
78.58,0
79.08,0
79.58,0
80.08,1
80.58,1
81.08,1
81.58,0
82.08,0
82.58,0
83.08,0
83.58,0
84.08,0
84.58,0
85.08,1
85.58,0
86.08,0
86.58,0
87.08,0
87.58,0
88.08,0
88.58,1
89.08,1
89.58,1
90.08,2
90.58,2
91.08,1
91.58,1
92.08,2
92.58,1
93.08,1
93.58,0
94.08,0
94.58,0
95.08,0
95.58,0
96.08,2
96.58,2
97.08,1
97.58,1
98.08,2
98.58,2
99.08,2
99.58,1
100.08,1
100.58,1
101.08,2
101.58,2
102.08,2
102.58,2
103.08,2
103.58,2
104.08,2
104.58,2
105.08,2
105.58,2
106.08,0
106.58,0
107.08,1
107.58,2
108.08,2
108.58,2
109.08,1
109.58,1
110.08,1
110.58,2
111.08,2
111.58,2
112.08,2
112.58,1
113.08,2
113.58,2
114.08,2
114.58,2
115.08,2
115.58,2
116.08,1
116.58,0
117.08,1
117.58,1
118.08,0
118.58,1
119.08,1
119.58,1
120.08,1
120.58,0
121.08,1
121.58,1
122.08,1
122.58,1
123.08,2
123.58,1
124.08,1
124.58,2
125.08,1
125.58,1
126.08,2
126.58,2
127.08,2
127.58,2
128.08,2
128.58,1
129.08,2
129.58,2
130.08,2
130.58,1
131.07999999999998,1
131.57999999999998,1
132.07999999999998,1
132.57999999999998,2
133.07999999999998,2
133.57999999999998,1
134.07999999999998,2
134.57999999999998,2
135.07999999999998,2
135.57999999999998,2
136.07999999999998,0
136.57999999999998,1
137.07999999999998,2
137.57999999999998,2
138.07999999999998,1
138.57999999999998,2
139.07999999999998,2
139.57999999999998,2
140.07999999999998,2
140.57999999999998,2
141.07999999999998,2
141.57999999999998,2
142.07999999999998,2
142.57999999999998,1
143.07999999999998,2
143.57999999999998,1
144.07999999999998,2
144.57999999999998,2
145.07999999999998,1
145.57999999999998,0
146.07999999999998,1
146.57999999999998,2
147.07999999999998,2
147.57999999999998,2
148.07999999999998,2
148.57999999999998,2
149.07999999999998,2
149.57999999999998,2
150.07999999999998,0
150.57999999999998,0
151.07999999999998,1
151.57999999999998,0
152.07999999999998,0
152.57999999999998,0
153.07999999999998,1
153.57999999999998,2
154.07999999999998,1
154.57999999999998,1
155.07999999999998,2
155.57999999999998,2
156.07999999999998,2
156.57999999999998,1
157.07999999999998,1
157.57999999999998,1
158.07999999999998,0
