start_time_s,label
0.934,0
1.102,1
5.137,0
5.352,1
5.815,1
7.157,1
20.407,1
21.275,1
22.409,0
22.595,1
26.23,1
27.626,0
27.84,1
27.953,0
28.174,1
29.289,0
29.518,0
29.775,1
30.319,1
30.676,1
30.741,0
31.073,0
31.301,1
31.646,1
31.88,1
33.731,1
36.14,1
36.895,0
38.259,0
38.386,1
39.04,1
39.186,0
39.52,0
40.262,1
40.816,0
40.948,0
41.181,1
41.376,1
41.565,1
42.314,0
42.431,0
42.547,0
42.634,0
42.914,0
44.328,0
44.587,1
48.388,0
48.543,1
49.843,1
50.099,0
51.5,1
51.681,0
51.798,0
52.055,1
53.41,1
53.745,1
54.387,0
54.614,0
55.019,1
55.359,1
55.603,0
57.995,1
58.32,1
58.625,1
58.738,0
58.862,1
59.333,0
59.632,1
60.281,0
60.405,1
60.818,1
61.161,1
61.571,0
62.139,1
62.382,0
63.412,0
63.523,0
63.622,0
64.184,1
64.302,0
65.847,1
185.6,0
185.649,0
185.765,0
186.283,0
186.388,0
186.564,0
186.701,0
186.848,1
186.983,1
187.296,1
187.417,0
188.624,0
188.752,0
188.846,0
189.09,0
189.17,0
189.673,1
189.882,0
190.115,0
190.615,1
191.302,1
191.646,1
191.945,1
192.191,0
192.583,0
192.889,1
193.266,1
194.648,0
194.971,1
195.057,0
195.445,1
196.404,1
197.188,1
197.791,0
197.868,0
198.04,1
198.143,1
198.242,1
199.476,0
199.699,0
199.923,0
200.069,0
200.463,0
200.947,1
201.108,1
201.346,1
201.48,0
202.164,0
202.64,1
202.814,1
203.054,1
203.311,1
204.63,1
205.373,1
205.631,0
205.768,1
206.011,0
206.36,1
206.78,1
207.505,1
207.724,1
208.138,1
208.294,0
208.861,0
209.082,1
209.744,1
209.981,1
211.052,1
211.274,0
214.895,1
215.038,1
220.069,0
220.256,1
220.836,1
228.096,0
228.462,0
229.62,1
229.797,0
230.422,1
232.58,1
233.339,1
235.646,0
235.748,0
235.826,0
236.37,1
237.155,1
239.53,0
239.678,0
239.921,0
240.256,1
240.348,1
242.479,0
243.556,1
243.91,0
244.621,0
244.792,1
244.904,0
245.529,0
245.608,0
245.796,0
245.898,0
246.48,0
246.61,0
246.939,1
247.239,1
248.296,0
248.408,0
249.224,0
251.358,1
252.756,0
252.804,0
253.038,1
272.732,1
274.89,0
274.958,0
275.321,1
275.999,0
315.579,0
315.907,1
316.042,1
316.189,0
316.438,0
316.553,0
317.203,1
320.144,1
320.371,0
321.977,0
323.691,0
323.785,0
324.129,1
326.503,1
326.85,1
326.995,1
331.1,0
331.505,0
332.282,0
332.528,0
332.779,0
332.992,0
333.401,0
333.496,0
334.275,0
365.402,0
365.583,1
366.14,1
367.348,0
372.266,1
372.526,0
373.182,1
375.32,0
375.695,1
376.454,1
377.588,0
377.705,0
377.839,0
378.156,0
378.603,0
378.92,1
379.322,0
382.447,0
382.578,0
382.751,1
383.522,0
383.7,0
384.032,1
385.166,0
385.423,0
387.22,1
388.172,1
388.54,0
388.807,1
389.12,1
390.769,1
391.199,1
392.529,1
393.001,1
393.949,1
396.117,0
397.532,1
398.139,1
402.159,1
403.613,1
404.023,1
404.903,1
405.465,1
405.951,1
406.235,0
406.316,0
407.008,0
407.332,0
408.94,1
411.16,1
411.4,0
411.62,0
412.14,0
412.24,0
413.825,0
414.006,0
414.21,0
414.687,0
438.424,0
438.627,1
438.949,1
441.311,0
441.705,0
442.0,1
443.322,0
443.622,1
443.832,1
444.94,1
446.748,0
446.934,1
448.045,0
448.305,0
448.697,1
448.912,1
449.0,0
449.108,0
450.685,0
461.622,0
461.962,1
462.92,1
467.181,1
