start_time_s,label
0.934,0
1.102,2
1.318,1
5.137,0
5.352,2
5.607,1
5.815,2
6.783,1
7.157,2
20.218,1
20.407,2
21.275,2
22.409,0
22.595,2
22.907,1
25.917,1
26.23,2
27.626,0
27.84,2
27.953,0
28.174,2
29.289,0
29.462,1
29.518,0
29.775,2
30.042,1
30.16,1
30.319,2
30.676,2
30.741,0
30.891,1
31.073,0
31.301,2
31.646,2
31.88,2
33.731,2
36.14,2
36.895,0
37.941,1
38.16,1
38.259,0
38.386,2
39.04,2
39.186,0
39.317,1
39.52,0
40.262,2
40.816,0
40.948,0
41.181,2
41.376,2
41.565,2
42.314,0
42.431,0
42.547,0
42.634,0
42.766,1
42.914,0
44.072,1
44.328,0
44.465,1
44.587,2
48.388,0
48.543,2
49.843,2
50.099,0
51.5,2
51.624,1
51.681,0
51.798,0
52.055,2
53.174,1
53.41,2
53.745,2
54.011,1
54.387,0
54.614,0
54.733,1
55.019,2
55.359,2
55.526,1
55.603,0
56.087,1
57.995,2
58.32,2
58.625,2
58.738,0
58.862,2
59.333,0
59.632,2
60.198,1
60.281,0
60.405,2
60.818,2
61.161,2
61.314,1
61.571,0
62.139,2
62.262,1
62.382,0
63.412,0
63.523,0
63.622,0
64.184,2
64.302,0
65.847,2
185.6,0
185.649,0
185.765,0
186.018,1
186.161,1
186.283,0
186.388,0
186.564,0
186.701,0
186.848,2
186.983,2
187.157,1
187.296,2
187.417,0
188.624,0
188.752,0
188.846,0
188.935,1
189.023,1
189.09,0
189.17,0
189.392,1
189.673,2
189.882,0
190.115,0
190.615,2
190.762,1
190.914,1
191.025,1
191.302,2
191.646,2
191.945,2
192.191,0
192.583,0
192.889,2
193.266,2
194.648,0
194.971,2
195.057,0
195.445,2
196.404,2
196.927,1
197.02,1
197.188,2
197.638,1
197.791,0
197.868,0
198.04,2
198.143,2
198.242,2
199.476,0
199.699,0
199.822,1
199.923,0
200.069,0
200.238,1
200.463,0
200.739,1
200.947,2
201.108,2
201.346,2
201.48,0
202.164,0
202.426,1
202.64,2
202.814,2
203.054,2
203.311,2
204.63,2
205.373,2
205.631,0
205.768,2
206.011,0
206.21,1
206.36,2
206.78,2
207.505,2
207.724,2
207.928,1
208.138,2
208.294,0
208.861,0
209.082,2
209.345,1
209.744,2
209.821,1
209.981,2
210.884,1
211.052,2
211.274,0
214.895,2
215.038,2
219.278,1
219.546,1
219.81,1
220.069,0
220.256,2
220.836,2
221.854,1
222.03,1
222.238,1
227.459,1
228.096,0
228.36,1
228.462,0
228.706,1
229.343,1
229.62,2
229.797,0
229.941,1
230.062,1
230.211,1
230.422,2
230.523,1
231.234,1
231.466,1
231.782,1
232.056,1
232.58,2
233.141,1
233.339,2
235.646,0
235.748,0
235.826,0
236.37,2
236.746,1
237.155,2
238.927,1
239.205,1
239.53,0
239.678,0
239.921,0
240.256,2
240.348,2
242.479,0
242.968,1
243.556,2
243.776,1
243.91,0
244.621,0
244.792,2
244.904,0
245.028,1
245.131,1
245.529,0
245.608,0
245.712,1
245.796,0
245.898,0
246.02,1
246.191,1
246.376,1
246.48,0
246.61,0
246.939,2
247.239,2
248.171,1
248.296,0
248.408,0
249.003,1
249.224,0
251.358,2
251.623,1
251.768,1
251.864,1
252.55,1
252.665,1
252.756,0
252.804,0
253.038,2
253.428,1
272.312,1
272.433,1
272.732,2
272.872,1
274.89,0
274.958,0
275.321,2
275.999,0
276.141,1
315.579,0
315.907,2
316.042,2
316.189,0
316.438,0
316.553,0
316.711,1
317.203,2
318.629,1
319.826,1
319.975,1
320.144,2
320.371,0
320.523,1
321.977,0
322.225,1
322.729,1
323.511,1
323.691,0
323.785,0
324.129,2
324.728,1
324.863,1
325.147,1
326.503,2
326.701,1
326.85,2
326.995,2
330.846,1
331.1,0
331.348,1
331.505,0
331.678,1
332.282,0
332.528,0
332.699,1
332.779,0
332.992,0
333.118,1
333.28,1
333.401,0
333.496,0
334.275,0
365.402,0
365.583,2
366.14,2
366.407,1
367.348,0
367.503,1
367.727,1
372.266,2
372.526,0
372.639,1
372.877,1
373.182,2
375.16,1
375.32,0
375.695,2
375.873,1
375.976,1
376.454,2
376.64,1
376.728,1
377.588,0
377.705,0
377.839,0
378.156,0
378.308,1
378.524,1
378.603,0
378.92,2
379.322,0
382.447,0
382.578,0
382.751,2
383.522,0
383.612,1
383.7,0
384.032,2
384.907,1
385.166,0
385.423,0
385.55,1
386.539,1
386.829,1
387.22,2
387.812,1
388.172,2
388.438,1
388.54,0
388.649,1
388.807,2
389.12,2
390.769,2
391.033,1
391.199,2
391.417,1
392.529,2
393.001,2
393.949,2
395.789,1
395.923,1
396.038,1
396.117,0
397.532,2
397.807,1
398.139,2
402.159,2
403.613,2
404.023,2
404.903,2
405.465,2
405.951,2
406.136,1
406.235,0
406.316,0
406.522,1
406.711,1
406.905,1
407.008,0
407.189,1
407.332,0
408.94,2
410.568,1
411.16,2
411.4,0
411.62,0
411.847,1
412.021,1
412.14,0
412.24,0
413.825,0
414.006,0
414.21,0
414.687,0
438.424,0
438.627,2
438.949,2
441.176,1
441.311,0
441.589,1
441.705,0
442.0,2
443.322,0
443.622,2
443.832,2
444.625,1
444.94,2
446.39,1
446.564,1
446.748,0
446.934,2
448.045,0
448.305,0
448.697,2
448.912,2
449.0,0
449.108,0
450.685,0
452.205,1
461.567,1
461.622,0
461.962,2
462.7,1
462.92,2
467.181,2
