start_time_s,label
0.758,0
0.934,0
1.102,1
1.318,1
2.734,1
5.03,0
5.137,0
5.352,0
5.607,0
5.815,1
6.61,0
6.783,1
7.157,1
9.251,1
20.011,0
20.218,0
20.407,0
21.275,1
22.294,0
22.409,0
22.595,1
22.907,1
23.462,1
24.338,1
25.179,1
25.776,1
25.917,1
26.23,1
27.473,0
27.626,1
27.84,0
27.953,1
28.174,1
29.177,0
29.289,0
29.462,0
29.518,0
29.775,1
30.042,0
30.16,1
30.319,1
30.676,0
30.741,0
30.891,1
31.073,1
31.301,1
31.646,0
31.88,1
32.336,1
33.449,0
33.731,1
35.335,0
36.14,1
36.811,0
36.895,1
37.751,0
37.941,0
38.16,1
38.259,0
38.386,1
39.04,0
39.186,1
39.317,1
39.52,0
40.262,1
40.816,0
40.948,1
41.181,1
41.376,0
41.565,1
42.195,0
42.314,0
42.431,1
42.547,0
42.634,0
42.766,0
42.914,1
43.807,0
44.072,0
44.328,1
44.465,1
44.587,1
45.82,1
48.216,0
48.388,0
48.543,1
49.497,1
49.843,0
50.099,1
51.097,0
51.5,1
51.624,1
51.681,0
51.798,0
52.055,1
52.396,1
53.033,0
53.174,1
53.41,1
53.745,1
54.011,1
54.19,0
54.387,1
54.614,0
54.733,0
55.019,1
55.359,0
55.526,0
55.603,1
56.087,1
57.351,0
57.995,0
58.32,1
58.625,1
58.738,0
58.862,1
59.333,0
59.632,1
60.078,0
60.198,0
60.281,0
60.405,0
60.818,0
61.161,0
61.314,0
61.571,1
61.843,0
62.139,1
62.262,0
62.382,1
63.286,0
63.412,0
63.523,0
63.622,1
64.184,0
64.302,1
65.654,0
65.847,1
185.47,0
185.6,0
185.649,1
185.765,0
186.018,0
186.161,0
186.283,0
186.388,1
186.564,0
186.701,1
186.848,0
186.983,1
187.157,1
187.296,0
187.417,1
188.502,0
188.624,1
188.752,1
188.846,0
188.935,0
189.023,0
189.09,0
189.17,0
189.392,1
189.673,0
189.882,1
190.115,1
190.615,0
190.762,1
190.914,0
191.025,0
191.302,0
191.646,0
191.945,1
192.191,1
192.583,1
192.889,0
193.266,1
194.505,0
194.648,0
194.971,0
195.057,0
195.445,1
196.255,0
196.404,1
196.927,0
197.02,0
197.188,0
197.638,1
197.791,0
197.868,0
198.04,0
198.143,0
198.242,1
199.326,0
199.476,0
199.699,0
199.822,0
199.923,1
200.069,0
200.238,0
200.463,1
200.739,0
200.947,0
201.108,0
201.346,0
201.48,1
202.099,0
202.164,0
202.426,1
202.64,1
202.814,0
203.054,0
203.311,1
204.004,0
204.63,1
205.191,0
205.373,1
205.631,0
205.768,1
206.011,1
206.21,0
206.36,0
206.78,1
207.382,0
