start_time_s,label
0.758,1
0.934,0
2.734,1
5.03,1
5.137,0
6.61,1
6.783,0
9.251,1
20.011,1
20.218,0
22.294,1
22.409,0
23.462,1
24.338,1
25.179,1
25.776,1
25.917,0
27.473,1
27.626,0
29.177,1
29.289,0
32.336,1
33.449,1
33.731,0
35.335,1
36.14,0
36.811,1
36.895,0
37.751,1
37.941,0
42.195,1
42.314,0
43.807,1
44.072,0
45.82,1
48.216,1
48.388,0
49.497,1
49.843,0
51.097,1
51.5,0
52.396,1
53.033,1
53.174,0
54.19,1
54.387,0
57.351,1
57.995,0
60.078,1
60.198,0
61.843,1
62.139,0
63.286,1
63.412,0
65.654,1
65.847,0
185.47,1
185.6,0
188.502,1
188.624,0
194.505,1
194.648,0
196.255,1
196.404,0
199.326,1
199.476,0
202.099,1
202.164,0
204.004,1
204.63,0
205.191,1
205.373,0
207.382,1
207.505,0
208.667,1
208.861,0
210.734,1
210.884,0
214.741,1
214.895,0
215.489,1
216.839,1
218.88,1
219.278,0
221.608,1
221.854,0
222.716,1
227.328,1
227.459,0
227.989,1
228.096,0
229.231,1
229.343,0
230.958,1
231.234,0
231.694,1
231.782,0
233.907,1
234.95,1
235.585,1
235.646,0
237.798,1
238.779,1
238.927,0
239.464,1
239.53,0
241.469,1
242.372,1
242.479,0
243.358,1
243.556,0
244.5,1
244.621,0
247.909,1
248.171,0
250.159,1
251.178,1
251.358,0
252.264,1
252.55,0
272.108,1
272.312,0
273.217,1
273.9,1
274.82,1
274.89,0
275.893,1
275.999,0
315.446,1
315.579,0
318.417,1
318.629,0
319.548,1
319.826,0
321.84,1
321.977,0
323.327,1
323.511,0
326.277,1
326.503,0
330.726,1
330.846,0
332.199,1
332.282,0
334.041,1
334.275,0
334.459,1
359.582,1
365.203,1
365.402,0
367.16,1
367.348,0
372.125,1
372.266,0
374.884,1
375.16,0
377.471,1
377.588,0
378.007,1
378.156,0
379.217,1
379.322,0
382.34,1
382.447,0
383.425,1
383.522,0
384.622,1
384.907,0
386.324,1
386.539,0
387.714,1
387.812,0
387.994,1
388.172,0
388.288,1
388.438,0
390.554,1
390.769,0
392.024,1
392.529,0
393.72,1
393.949,0
394.793,1
395.628,1
395.789,0
397.312,1
397.532,0
399.54,1
402.013,1
402.159,0
402.89,1
403.207,1
403.613,0
404.776,1
404.903,0
405.315,1
405.465,0
405.825,1
405.951,0
408.31,1
408.94,0
410.366,1
410.568,0
413.702,1
413.825,0
438.17,1
438.424,0
440.065,1
441.036,1
441.176,0
443.146,1
443.322,0
444.435,1
444.625,0
446.226,1
446.39,0
447.914,1
448.045,0
450.539,1
450.685,0
451.933,1
452.205,0
455.961,1
460.389,1
461.491,1
461.567,0
462.48,1
462.7,0
463.091,1
463.557,1
466.769,1
467.181,0
