start_time_s,label
0.758,0
0.934,1
1.102,2
1.318,2
2.734,0
5.03,0
5.137,1
5.352,2
5.607,2
5.815,2
6.61,0
6.783,1
7.157,2
9.251,0
20.011,0
20.218,1
20.407,2
21.275,2
22.294,0
22.409,1
22.595,2
22.907,2
23.462,0
24.338,0
25.179,0
25.776,0
25.917,1
26.23,2
27.473,0
27.626,1
27.84,2
27.953,2
28.174,2
29.177,0
29.289,1
29.462,2
29.518,2
29.775,2
30.042,2
30.16,2
30.319,2
30.676,2
30.741,2
30.891,2
31.073,2
31.301,2
31.646,2
31.88,2
32.336,0
33.449,0
33.731,1
35.335,0
36.14,1
36.811,0
36.895,1
37.751,0
37.941,1
38.16,2
38.259,2
38.386,2
39.04,2
39.186,2
39.317,2
39.52,2
40.262,2
40.816,2
40.948,2
41.181,2
41.376,2
41.565,2
42.195,0
42.314,1
42.431,2
42.547,2
42.634,2
42.766,2
42.914,2
43.807,0
44.072,1
44.328,2
44.465,2
44.587,2
45.82,0
48.216,0
48.388,1
48.543,2
49.497,0
49.843,1
50.099,2
51.097,0
51.5,1
51.624,2
51.681,2
51.798,2
52.055,2
52.396,0
53.033,0
53.174,1
53.41,2
53.745,2
54.011,2
54.19,0
54.387,1
54.614,2
54.733,2
55.019,2
55.359,2
55.526,2
55.603,2
56.087,2
57.351,0
57.995,1
58.32,2
58.625,2
58.738,2
58.862,2
59.333,2
59.632,2
60.078,0
60.198,1
60.281,2
60.405,2
60.818,2
61.161,2
61.314,2
61.571,2
61.843,0
62.139,1
62.262,2
62.382,2
63.286,0
63.412,1
63.523,2
63.622,2
64.184,2
64.302,2
65.654,0
65.847,1
185.47,0
185.6,1
185.649,2
185.765,2
186.018,2
186.161,2
186.283,2
186.388,2
186.564,2
186.701,2
186.848,2
186.983,2
187.157,2
187.296,2
187.417,2
188.502,0
188.624,1
188.752,2
188.846,2
188.935,2
189.023,2
189.09,2
189.17,2
189.392,2
189.673,2
189.882,2
190.115,2
190.615,2
190.762,2
190.914,2
191.025,2
191.302,2
191.646,2
191.945,2
192.191,2
192.583,2
192.889,2
193.266,2
194.505,0
194.648,1
194.971,2
195.057,2
195.445,2
196.255,0
196.404,1
196.927,2
197.02,2
197.188,2
197.638,2
197.791,2
197.868,2
198.04,2
198.143,2
198.242,2
199.326,0
199.476,1
199.699,2
199.822,2
199.923,2
200.069,2
200.238,2
200.463,2
200.739,2
200.947,2
201.108,2
201.346,2
201.48,2
202.099,0
202.164,1
202.426,2
202.64,2
202.814,2
203.054,2
203.311,2
204.004,0
204.63,1
205.191,0
205.373,1
205.631,2
205.768,2
206.011,2
206.21,2
206.36,2
206.78,2
207.382,0
207.505,1
207.724,2
207.928,2
208.138,2
208.294,2
208.667,0
208.861,1
209.082,2
209.345,2
209.744,2
209.821,2
209.981,2
210.734,0
210.884,1
211.052,2
211.274,2
214.741,0
214.895,1
215.038,2
215.489,0
216.839,0
218.88,0
219.278,1
219.546,2
219.81,2
220.069,2
220.256,2
220.836,2
221.608,0
221.854,1
222.03,2
222.238,2
222.716,0
227.328,0
227.459,1
227.989,0
228.096,1
228.36,2
228.462,2
228.706,2
229.231,0
229.343,1
229.62,2
229.797,2
229.941,2
230.062,2
230.211,2
230.422,2
230.523,2
230.958,0
231.234,1
231.466,2
231.694,0
231.782,1
232.056,2
232.58,2
233.141,2
233.339,2
233.907,0
234.95,0
235.585,0
235.646,1
235.748,2
235.826,2
236.37,2
236.746,2
237.155,2
237.798,0
238.779,0
238.927,1
239.205,2
239.464,0
239.53,1
239.678,2
239.921,2
240.256,2
240.348,2
241.469,0
242.372,0
242.479,1
242.968,2
243.358,0
243.556,1
243.776,2
243.91,2
244.5,0
244.621,1
244.792,2
244.904,2
245.028,2
245.131,2
245.529,2
245.608,2
245.712,2
245.796,2
245.898,2
246.02,2
246.191,2
246.376,2
246.48,2
246.61,2
246.939,2
247.239,2
247.909,0
248.171,1
248.296,2
248.408,2
249.003,2
249.224,2
250.159,0
251.178,0
251.358,1
251.623,2
251.768,2
251.864,2
252.264,0
252.55,1
252.665,2
252.756,2
252.804,2
253.038,2
253.428,2
272.108,0
272.312,1
272.433,2
272.732,2
272.872,2
273.217,0
273.9,0
274.82,0
274.89,1
274.958,2
275.321,2
275.893,0
275.999,1
276.141,2
315.446,0
315.579,1
315.907,2
316.042,2
316.189,2
316.438,2
316.553,2
316.711,2
317.203,2
318.417,0
318.629,1
319.548,0
319.826,1
319.975,2
320.144,2
320.371,2
320.523,2
321.84,0
321.977,1
322.225,2
322.729,2
323.327,0
323.511,1
