start_time_s,label
0.934,0
1.318,0
2.734,1
5.03,0
9.251,1
20.218,0
20.407,1
21.275,1
22.294,0
22.409,0
22.595,1
22.907,1
23.462,1
24.338,1
25.179,1
25.776,0
26.23,1
27.84,0
29.462,0
30.042,0
30.16,0
30.319,1
30.676,0
30.741,0
33.731,1
35.335,1
36.14,1
36.811,0
36.895,1
38.16,0
38.259,0
38.386,1
39.186,0
39.52,1
40.262,1
42.195,0
42.314,0
42.431,0
42.547,0
42.634,0
44.328,0
44.465,0
44.587,1
45.82,1
48.388,0
48.543,1
49.497,1
50.099,1
51.097,0
51.5,0
51.624,0
51.681,0
53.033,0
53.174,0
54.614,0
55.019,1
55.526,0
55.603,1
56.087,1
57.351,1
58.625,0
58.738,0
58.862,1
60.078,0
60.198,0
60.281,0
60.405,1
60.818,1
62.139,0
62.262,0
62.382,1
63.412,0
63.523,0
63.622,1
64.184,0
64.302,0
185.47,0
185.6,0
186.161,0
186.283,0
186.701,0
186.848,0
187.157,0
187.296,0
188.502,0
188.624,0
188.752,0
188.846,0
188.935,0
189.023,0
189.09,0
189.392,0
190.914,0
191.025,0
191.302,1
192.191,1
193.266,1
194.971,0
195.057,1
196.255,0
196.404,1
196.927,0
197.02,0
197.188,1
197.791,0
197.868,0
198.04,0
198.143,0
198.242,1
199.699,0
199.822,0
200.947,0
201.48,1
202.099,0
202.64,0
203.311,1
204.004,1
205.191,0
205.631,0
206.21,0
206.36,1
207.382,0
207.505,0
209.345,1
209.744,0
209.821,0
209.981,1
210.734,0
210.884,0
214.741,0
214.895,0
215.489,1
216.839,1
218.88,1
220.256,1
220.836,1
222.716,1
227.328,0
227.989,0
228.36,0
229.231,0
229.797,0
229.941,0
230.422,0
231.694,0
232.056,1
232.58,1
233.141,0
233.339,1
233.907,1
235.585,0
235.646,0
235.748,0
235.826,1
236.37,1
236.746,1
237.155,1
237.798,1
238.779,0
239.464,0
240.256,0
241.469,1
242.372,0
242.479,1
243.776,0
243.91,1
244.5,0
244.621,0
244.792,0
244.904,0
245.028,0
245.131,1
245.529,0
245.608,0
245.712,0
245.796,0
245.898,0
246.376,0
246.48,0
248.171,0
248.296,0
248.408,1
249.224,1
250.159,1
251.178,0
251.623,0
251.768,0
251.864,1
252.264,1
252.55,0
252.665,0
252.756,0
253.038,1
253.428,1
272.312,0
272.732,0
272.872,0
273.217,1
273.9,1
274.82,0
274.89,0
275.893,0
275.999,0
276.141,1
315.446,0
315.907,0
316.438,0
316.553,0
316.711,1
319.826,0
319.975,0
320.371,0
320.523,1
321.84,0
322.225,1
322.729,1
323.691,0
324.129,1
324.728,0
325.147,1
326.701,0
326.85,0
326.995,1
330.726,0
332.199,0
332.699,0
332.992,0
333.28,0
333.401,0
333.496,1
366.407,1
372.125,0
372.526,0
373.182,1
375.873,0
376.64,0
376.728,1
377.471,0
377.588,0
377.705,0
377.839,0
378.156,0
378.524,0
379.217,0
382.34,0
382.578,0
383.425,0
383.522,0
383.612,0
385.423,0
387.22,1
387.714,0
388.172,0
388.288,0
388.438,0
388.54,0
388.649,0
391.033,0
391.417,1
395.628,0
395.789,0
395.923,0
396.038,0
398.139,1
399.54,1
402.013,0
404.023,1
404.776,0
404.903,1
405.315,0
405.465,1
405.825,0
406.136,0
406.235,0
406.905,0
408.31,1
408.94,1
412.021,0
412.14,0
412.24,1
413.702,0
414.21,1
414.687,1
438.949,1
440.065,1
441.036,0
441.589,0
443.622,0
443.832,1
446.748,0
448.305,1
448.912,0
449.0,0
449.108,1
450.685,1
452.205,1
455.961,1
460.389,1
461.491,0
461.567,0
463.091,1
463.557,1
466.769,1
467.181,1
