start_time_s,label
0.758,1
0.934,0
1.102,1
1.318,0
2.734,2
5.03,0
5.137,1
5.352,1
5.607,1
5.815,1
6.61,1
6.783,1
7.157,1
9.251,2
20.011,1
20.218,0
20.407,2
21.275,2
22.294,0
22.409,0
22.595,2
22.907,2
23.462,2
24.338,2
25.179,2
25.776,0
25.917,1
26.23,2
27.473,1
27.626,1
27.84,0
27.953,1
28.174,1
29.177,1
29.289,1
29.462,0
29.518,1
29.775,1
30.042,0
30.16,0
30.319,2
30.676,0
30.741,0
30.891,1
31.073,1
31.301,1
31.646,1
31.88,1
32.336,1
33.449,1
33.731,2
35.335,2
36.14,2
36.811,0
36.895,2
37.751,1
37.941,1
38.16,0
38.259,0
38.386,2
39.04,1
39.186,0
39.317,1
39.52,2
40.262,2
40.816,1
40.948,1
41.181,1
41.376,1
41.565,1
42.195,0
42.314,0
42.431,0
42.547,0
42.634,0
42.766,1
42.914,1
43.807,1
44.072,1
44.328,0
44.465,0
44.587,2
45.82,2
48.216,1
48.388,0
48.543,2
49.497,2
49.843,1
50.099,2
51.097,0
51.5,0
51.624,0
51.681,0
51.798,1
52.055,1
52.396,1
53.033,0
53.174,0
53.41,1
53.745,1
54.011,1
54.19,1
54.387,1
54.614,0
54.733,1
55.019,2
55.359,1
55.526,0
55.603,2
56.087,2
57.351,2
57.995,1
58.32,1
58.625,0
58.738,0
58.862,2
59.333,1
59.632,1
60.078,0
60.198,0
60.281,0
60.405,2
60.818,2
61.161,1
61.314,1
61.571,1
61.843,1
62.139,0
62.262,0
62.382,2
63.286,1
63.412,0
63.523,0
63.622,2
64.184,0
64.302,0
65.654,1
65.847,1
185.47,0
185.6,0
185.649,1
185.765,1
186.018,1
186.161,0
186.283,0
186.388,1
186.564,1
186.701,0
186.848,0
186.983,1
187.157,0
187.296,0
187.417,1
188.502,0
188.624,0
188.752,0
188.846,0
188.935,0
189.023,0
189.09,0
189.17,1
189.392,0
189.673,1
189.882,1
190.115,1
190.615,1
190.762,1
190.914,0
191.025,0
191.302,2
191.646,1
191.945,1
192.191,2
192.583,1
192.889,1
193.266,2
194.505,1
194.648,1
194.971,0
195.057,2
195.445,1
196.255,0
196.404,2
196.927,0
197.02,0
197.188,2
197.638,1
197.791,0
197.868,0
198.04,0
198.143,0
198.242,2
199.326,1
199.476,1
199.699,0
199.822,0
199.923,1
200.069,1
200.238,1
200.463,1
200.739,1
200.947,0
201.108,1
201.346,1
201.48,2
202.099,0
202.164,1
202.426,1
202.64,0
202.814,1
203.054,1
203.311,2
204.004,2
204.63,1
205.191,0
205.373,1
205.631,0
205.768,1
206.011,1
206.21,0
206.36,2
206.78,1
207.382,0
207.505,0
207.724,1
207.928,1
208.138,1
208.294,1
208.667,1
208.861,1
209.082,1
209.345,2
209.744,0
209.821,0
209.981,2
210.734,0
210.884,0
211.052,1
211.274,1
214.741,0
214.895,0
215.038,1
215.489,2
216.839,2
218.88,2
219.278,1
219.546,1
219.81,1
220.069,1
220.256,2
220.836,2
221.608,1
221.854,1
222.03,1
222.238,1
222.716,2
227.328,0
227.459,1
227.989,0
228.096,1
228.36,0
228.462,1
228.706,1
229.231,0
229.343,1
229.62,1
229.797,0
229.941,0
230.062,1
230.211,1
230.422,0
230.523,1
230.958,1
231.234,1
231.466,1
231.694,0
231.782,1
232.056,2
232.58,2
233.141,0
233.339,2
233.907,2
234.95,1
235.585,0
235.646,0
235.748,0
235.826,2
236.37,2
236.746,2
237.155,2
237.798,2
238.779,0
238.927,1
239.205,1
239.464,0
239.53,1
239.678,1
239.921,1
