start_time_s,label
1.102,1
2.734,0
5.352,0
5.815,1
6.783,0
21.275,0
22.595,1
25.776,1
26.23,0
27.626,0
30.16,1
30.319,0
30.891,0
31.301,1
31.646,0
36.14,0
38.16,1
38.386,0
40.262,1
40.948,0
41.565,0
42.431,1
42.914,0
44.328,1
48.543,1
50.099,0
51.5,1
53.174,1
53.41,1
54.387,1
54.733,0
55.019,1
55.603,0
58.625,1
58.862,0
61.571,0
63.622,1
185.649,1
186.388,0
186.983,1
187.417,0
188.624,1
189.17,1
189.882,1
190.762,1
191.646,0
192.583,1
193.266,0
195.057,0
195.445,0
196.404,0
198.242,0
199.923,1
200.238,0
202.426,1
203.311,0
204.004,0
205.373,0
205.768,1
206.36,0
207.928,1
208.861,1
209.082,0
209.345,1
209.981,0
210.884,1
211.274,0
215.038,1
219.278,1
219.81,1
220.256,1
221.608,1
227.459,0
228.096,1
228.462,0
229.62,0
230.211,1
231.234,1
231.466,0
231.782,1
232.58,0
235.646,1
236.37,0
237.798,0
239.205,1
239.53,1
239.921,1
242.372,1
242.968,0
243.358,1
243.91,1
245.028,1
245.608,1
246.02,1
246.61,0
246.939,0
247.909,0
248.408,0
251.358,1
251.864,0
252.264,1
252.665,1
253.428,0
272.433,1
272.732,1
273.9,0
274.958,0
275.893,1
276.141,0
316.189,1
316.711,0
320.144,1
321.977,0
323.511,1
323.785,0
324.129,0
325.147,0
326.503,1
326.995,0
330.846,1
331.1,1
331.348,1
331.678,0
332.282,0
332.528,1
332.779,1
333.118,1
333.496,0
334.041,1
334.459,1
365.402,1
365.583,1
366.407,0
367.727,0
372.266,1
372.639,1
373.182,0
374.884,0
375.32,0
375.695,1
375.976,0
376.728,1
377.588,1
378.156,1
378.92,0
379.217,1
382.751,0
383.425,1
384.032,0
385.55,0
386.539,1
387.812,1
388.172,1
388.438,1
388.807,0
390.769,1
391.033,1
391.417,0
393.949,0
395.923,1
397.532,1
402.013,1
404.023,0
404.903,1
405.465,1
406.136,1
407.332,0
408.31,0
408.94,0
414.006,1
414.21,0
414.687,0
438.17,1
441.176,1
441.705,1
443.322,1
444.625,1
448.045,1
448.697,0
450.539,1
451.933,1
461.962,0
462.92,1
463.091,0
