start_time_s,label
0.758,5
0.934,2
1.102,1
1.318,2
2.734,0
5.03,5
5.137,4
5.352,0
5.607,2
5.815,1
6.61,4
6.783,0
7.157,4
9.251,5
20.011,3
20.218,3
20.407,4
21.275,0
22.409,2
22.595,1
22.907,2
25.776,1
26.23,0
27.473,2
27.626,0
27.953,4
28.174,5
29.289,2
29.462,3
29.518,4
29.775,4
30.16,1
30.319,0
30.741,3
30.891,0
31.073,2
31.301,1
31.646,0
31.88,5
36.14,0
36.811,2
36.895,4
37.941,2
38.16,1
38.259,3
38.386,0
39.186,2
39.317,2
39.52,5
40.262,1
40.816,2
40.948,0
41.376,4
41.565,0
42.195,2
42.314,5
42.431,1
42.766,3
42.914,0
44.072,2
44.328,1
44.465,2
44.587,5
48.216,5
48.388,2
48.543,1
50.099,0
51.5,1
51.624,2
51.798,2
52.055,4
53.033,2
53.174,1
53.41,1
54.19,2
54.387,1
54.614,3
54.733,0
55.019,1
55.526,3
55.603,0
56.087,5
58.625,1
58.738,3
58.862,0
59.632,2
60.198,2
60.281,3
60.405,4
60.818,4
61.161,4
61.314,4
61.571,0
61.843,2
62.139,2
62.262,2
63.286,5
63.523,2
63.622,1
64.302,2
65.847,2
185.6,2
185.649,1
185.765,2
186.018,5
186.161,4
186.283,3
186.388,0
186.701,3
186.983,1
187.296,3
187.417,0
188.502,2
188.624,1
188.752,2
188.935,2
189.09,5
189.17,1
189.392,2
189.882,1
190.115,2
190.615,2
190.762,1
190.914,2
191.646,0
191.945,4
192.191,5
192.583,1
192.889,4
193.266,0
194.505,2
194.648,5
194.971,3
195.057,0
195.445,0
196.255,3
196.404,0
197.02,2
197.188,5
198.143,3
198.242,0
199.326,5
199.699,2
199.923,1
200.069,3
200.238,0
200.463,5
200.947,5
201.48,5
202.099,2
202.164,5
202.426,1
202.64,2
203.311,0
204.004,0
204.63,5
205.373,0
205.631,2
205.768,1
206.011,5
206.21,3
206.36,0
207.382,2
207.505,5
207.928,1
208.294,4
208.667,2
208.861,1
209.082,0
209.345,1
209.821,3
209.981,0
210.884,1
211.052,2
211.274,0
214.895,2
215.038,1
219.278,1
219.546,5
219.81,1
220.256,1
220.836,5
221.608,1
221.854,2
222.03,5
222.238,5
227.328,3
227.459,0
227.989,2
228.096,1
228.36,3
228.462,0
228.706,5
229.231,2
229.343,2
229.62,0
229.797,2
230.211,1
230.422,2
231.234,1
231.466,0
231.694,2
231.782,1
232.056,4
232.58,0
233.907,4
234.95,2
235.585,2
235.646,1
235.748,3
235.826,4
236.37,0
236.746,2
237.155,4
237.798,0
238.779,2
239.205,1
239.464,2
239.53,1
239.678,2
239.921,1
240.348,2
242.372,1
242.968,0
243.358,1
243.91,1
244.621,5
244.904,2
245.028,1
245.131,5
245.608,1
245.796,2
246.02,1
246.376,3
246.48,4
246.61,0
246.939,0
247.909,0
248.296,3
248.408,0
251.178,2
251.358,1
251.623,2
251.864,0
252.264,1
252.55,2
252.665,1
252.756,3
252.804,5
253.038,4
253.428,0
272.312,2
272.433,1
272.732,1
272.872,2
273.9,0
274.89,3
274.958,0
275.321,5
275.893,1
275.999,2
276.141,0
315.446,2
315.579,4
315.907,2
316.189,1
316.553,2
316.711,0
318.417,3
318.629,4
319.975,2
320.144,1
320.371,3
321.977,0
322.225,2
322.729,4
323.327,2
323.511,1
323.691,2
323.785,0
324.129,0
324.863,4
325.147,0
326.277,2
326.503,1
326.701,2
326.85,3
326.995,0
330.726,2
330.846,1
331.1,1
331.348,1
331.505,3
331.678,0
332.199,3
332.282,0
332.528,1
332.699,2
332.779,1
332.992,2
333.118,1
333.401,3
333.496,0
334.041,1
334.459,1
365.203,2
365.402,1
365.583,1
366.14,3
366.407,0
367.503,5
367.727,0
372.125,2
372.266,1
372.639,1
372.877,3
373.182,0
374.884,0
375.16,3
375.32,0
375.695,1
375.873,3
375.976,0
376.64,2
376.728,1
377.471,5
377.588,1
377.839,5
378.156,1
378.524,3
378.603,4
378.92,0
379.217,1
382.34,5
382.578,2
382.751,0
383.425,1
383.522,2
383.612,3
383.7,4
384.032,0
384.622,5
384.907,5
385.423,3
385.55,0
386.324,2
386.539,1
386.829,5
387.22,5
387.714,2
387.812,1
387.994,2
388.172,1
388.438,1
388.54,2
388.649,3
388.807,0
390.554,2
390.769,1
391.033,1
391.199,3
391.417,0
393.001,5
393.949,0
395.789,2
395.923,1
396.038,2
396.117,4
397.312,2
397.532,1
397.807,5
398.139,5
402.013,1
402.159,5
403.207,2
403.613,2
404.023,0
404.776,2
404.903,1
405.315,2
405.465,1
405.951,2
406.136,1
406.235,2
406.316,5
406.522,5
407.008,5
407.189,3
407.332,0
408.31,0
408.94,0
411.62,5
411.847,4
412.14,2
413.702,5
413.825,2
414.006,1
414.21,0
414.687,0
438.17,1
438.424,2
441.036,2
441.176,1
441.311,5
441.705,1
442.0,2
443.146,2
443.322,1
443.622,2
444.435,2
444.625,1
444.94,2
446.226,2
446.39,5
446.564,4
446.934,2
447.914,2
448.045,1
448.305,2
448.697,0
449.0,3
450.539,1
451.933,1
452.205,5
461.491,2
461.567,3
461.622,4
461.962,0
462.48,2
462.92,1
463.091,0
